Drug	Drug_id	Drug_type	Drug_type_id
methyl 2-(1-(4-fluorobenzyl)-1H-indazole-3-carboxamido)-3-methylbutanoate	C4307344	protein	null
onabotulinum toxin A	C4743433	protein	null
Desmopressin Monoacetate	C0887409	protein	null
Desmogalen	C1578463	protein	null
desmopressin acetate	C0086135	protein	null
Adiuretin SD	C0701196	protein	null
Adiuretin	C0701197	protein	null
Minirin	C2603382	protein	null
Apo-Desmopressin	C1720759	protein	null
Nocutil	C1720760	protein	null
sacubitril	C4033447	protein	null
Levulan	C1449662	protein	null
N-cis-2,6-dimethylpiperidinocarbonyl-gamma-methylleucyl-tryptophyl(COOMe)-norleucine	C0253335	protein	null
N-2,6-dimethylpiperidinocarbonyl-gamma-MeLeu-Trp(COOMe)-Nle-ONa	C0253334	protein	null
theanine, (D)-isomer	C0972002	protein	null
theanine, (DL)-isomer	C0954003	protein	null
spartalizumab	C4682406	protein	null
PDR-001	C4053607	protein	null
MK-3475	C3660977	protein	null
Keytruda	C3855203	protein	null
SCH-900475	C3812223	protein	null
Kisspeptin-10	C1721258	protein	null
RX-783006	C0525779	protein	null
FPF1070	C0282840	protein	null
Renacenz	C5545151	protein	null
Fibrogammin	C1564746	protein	null
Thrombolysin	C0733564	protein	null
Vaccines, Recombinant	C0034862	protein	null
Semisynthetic Vaccines	C0036634	protein	null
Molecular Vaccines	C0026384	protein	null
Vaccines, Synthetic	C0042213	protein	null
brain-derived neurotrophic factor, human	C3486709	protein	null
Humulin S	C0020172	protein	null
Soybean Proteins	C0950114	protein	null
SQ-19,844	C0733459	protein	null
Kinevac	C0733458	protein	null
dimethylglycine, monopotassium salt	C0970191	protein	null
dimethylglycine, calcium salt	C0953778	protein	null
dimethylglycine monohydrochloride	C0953777	protein	null
dimethylglycine, sodium salt	C0953776	protein	null
Campath 1H	C1178562	protein	null
Campath	C0939276	protein	null
Lemtrada	C3860145	protein	null
cocaine hydrolase	C5198009	protein	null
AZD1222	C5383286	protein	null
Aldomet	C0591055	protein	null
Dopamet	C0591404	protein	null
Hydopa	C1563856	protein	null
Meldopa	C1563857	protein	null
Apo-Methyldopa	C1563855	protein	null
Nu-Medopa	C1563858	protein	null
Sembrina	C1563859	protein	null
Dopegyt	C0729239	protein	null
methyldopate	C0025744	protein	null
belatacept	C1619962	protein	null
Orencia	C1700021	protein	null
Nulojix	C3160359	protein	null
LEA29Y	C1120969	protein	null
Copper Penicillaminate	C0009976	protein	null
Cuprenil	C0699484	protein	null
Cuprimine	C0699483	protein	null
Metalcaptase	C0025536	protein	null
aducanumab	C4043101	protein	null
aducanumab-avwa	C5455414	protein	null
Aduhelm	C5455420	protein	null
BIIB-037	C4519523	protein	null
CCK-33	C0086004	protein	null
MEDI4736	C3641122	protein	null
durvalumab	C4055109	protein	null
Imfinzi	C4473954	protein	null
S-Nitrosoglutathione	C0073898	protein	null
SAR231893	C3658854	protein	null
REGN668	C3660995	protein	null
Dupixent	C4325130	protein	null
Alphacutanée	C1564766	protein	null
Avazyme	C1564765	protein	null
Alpha-Chymotrypsin Choay	C1564767	protein	null
Pepsin 1	C0030910	protein	null
pepsin A	C0030909	protein	null
Pepsin 3	C0030911	protein	null
Ropocamptide	C5418159	protein	null
CAP18 lipopolysaccharide-binding protein	C0108282	protein	null
Bac4 Protein, Bos taurus	C0754729	protein	null
microcystin-LR	C4742289	protein	null
toxin I, cyanobacterium	C4742290	protein	null
Lucentis	C1721374	protein	null
IBI 308	C4329335	protein	null
sintilimab	C4760864	protein	null
Collagenase Inhibitor	C0056117	protein	null
beta-alanine	C0000392	protein	null
beta-Alanine Hydrochloride	C0949459	protein	null
beta-Alanine, Monosodium Salt	C0949462	protein	null
beta-Alanine, Monopotassium Salt	C0949461	protein	null
beta-Alanine, Calcium Salt (2:1)	C0949460	protein	null
BAT-1806	C5564824	protein	null
MSB11456	C5226663	protein	null
RHPM-1	C5227770	protein	null
RO-4877533	C5227772	protein	null
Roactemra	C3272237	protein	null
RG-1569	C2830231	protein	null
Actemra	C2740854	protein	null
botulinum toxin type B	C0006051	protein	null
AC 2993 LAR	C1174290	protein	null
Bydureon	C3257792	protein	null
AC 2993	C1174289	protein	null
Byetta	C1636686	protein	null
Kidney Plasminogen Activator	C0086506	protein	null
Single-Chain Urokinase-Type Plasminogen Activator	C0086987	protein	null
Renokinase	C0701940	protein	null
Abbokinase	C0701941	protein	null
erythro-3,4-Dihydroxyphenylserine	C0520488	protein	null
Droxidopa, (DL-Tyr)-Isomer	C0887675	protein	null
3,4-Dihydroxyphenylserine	C0917718	protein	null
B2036-PEG	C0768710	protein	null
Somavert	C1174777	protein	null
N-methyl-DL-aspartate	C4549824	protein	null
beta-(4-chlorophenyl)-3-aminopropylphosphonic acid	C0105805	protein	null
Tromasin	C0700917	protein	null
SGK1 protein, rat	C1614461	protein	null
MR 20	C0899376	protein	null
Miraclid	C0128555	protein	null
UTI(68)	C5779583	protein	null
C1 esterase inhibitor (human)	C2366367	protein	null
Cinryze	C2366371	protein	null
C1 esterase inhibitor	C0540301	protein	null
Glu-Plasminogen	C0086350	protein	null
PLG protein	C5574739	protein	null
Avelizin	C0699214	protein	null
Awelysin	C0699215	protein	null
Distreptase	C0699217	protein	null
Kabivitrum	C0699218	protein	null
Streptodecase	C0699219	protein	null
Streptase	C0699213	protein	null
Kabikinase	C0699212	protein	null
Celiase	C0699216	protein	null
obinutuzumab	C2742503	protein	null
tositumomab	C0879399	protein	null
abciximab	C0288672	protein	null
Integrilin	C0950902	protein	null
collagenase Clostridium histolyticum	C0009053	protein	null
collagenase clostridium histolyticum-aaes	C5398049	protein	null
Intrifiban	C4256156	protein	null
eptifibatide	C0253563	protein	null
caplacizumab	C3713057	protein	null
caplacizumab-yhdp	C4759080	protein	null
azficel-T	C3162437	protein	null
antihemophilic factor, human recombinant	C2732002	protein	null
Octocog alfa	C1691209	protein	null
factor VIIa	C0015505	protein	null
coagulation factor VIIa (recombinant)-jncw	C5244559	protein	null
Nonacog gamma	C4512069	protein	null
coagulation factor XIII a-subunit (recombinant)	C3709760	protein	null
antihemophilic factor (recombinant), PEGylated-aucl	C4723218	protein	null
factor IX complex	C4048712	protein	null
coagulation factor IX recombinant immunoglobulin G1 fusion protein	C3818700	protein	null
Recombinant coagulation factor VIII	C5438574	protein	null
eptacog alfa activated	C0795575	protein	null
nonacog alfa	C2826076	protein	null
turoctocog alfa	C3529563	protein	null
fibrinogen, human	C2587184	protein	null
antihemophilic factor (recombinant) pegylated	C4083872	protein	null
prothrombin, human	C2828369	protein	null
anti-inhibitor coagulant complex	C0982025	protein	null
antihemophilic factor, porcine B-domain truncated recombinant	C3859426	protein	null
von Willebrand factor, human	C0795677	protein	null
factor VII, human	C2826077	protein	null
coagulation factor IX, human	C0724584	protein	null
antihemophilic factor, human	C0700346	protein	null
albutrepenonacog alfa	C4084478	protein	null
emicizumab-kxwh	C4534627	protein	null
antihemophilic factor, human recombinant residues 743-1636 deleted	C0966500	protein	null
Human Coagulation Factor VIII/Von Willebrand Factor Complex	C2732016	protein	null
andexanet alfa	C4079904	protein	null
factor XIII, human	C2979805	protein	null
coagulation factor X, human	C2826078	protein	null
factor VIII, human	C1307126	protein	null
Trenonacog alfa	C4550957	protein	null
emicizumab	C4278463	protein	null
coagulation factor IX (recombinant), glycopegylated	C3883805	protein	null
Beroctocog alfa	C4718976	protein	null
damoctocog alfa pegol	C4723219	protein	null
argatroban anhydrous	C2698183	protein	null
Transamine	C0040636	protein	null
argatroban	C0048470	protein	null
protein C, human	C1949480	protein	null
Antithrombin III (human) concentrate IV	C5834396	protein	null
antithrombin III, human	C0724532	protein	null
ancrod	C0002823	protein	null
tenecteplase	C0872913	protein	null
drotrecogin alfa	C1170000	protein	null
drotrecogin alfa (activated), lyophilized	C1170744	protein	null
salivary plasminogen activator alpha 1, Desmodus rotundus	C0141449	protein	null
Bovine plasmin	C4255566	protein	null
Plasmin (bos taurus)	C4490317	protein	null
peginterferon alfa-2a	C0391001	protein	null
interferon alfa-n1	C0699817	protein	null
protein S, human	C2002622	protein	null
reteplase	C0256103	protein	null
anistreplase	C0078956	protein	null
ANTITHROMBIN III,RECOMBINANT	C2684100	protein	null
antithrombin alfa	C2316217	protein	null
interferon beta-1b	C0244713	protein	null
rituximab-pvvr	C5195655	protein	null
ibritumomab tiuxetan	C0877880	protein	null
interferon alfa-n3	C1621234	protein	null
peginterferon alfa-2b	C0796545	protein	null
Interferon Gamma-1b, Recombinant	C1579322	protein	null
interferon gamma-1b	C0021741	protein	null
SH-polypeptide-46	C4256158	protein	null
ILT-101	C5417947	protein	null
aldesleukin	C0218986	protein	null
gemtuzumab ozogamicin	C1533699	protein	null
recombinant interferon beta-1b	C0244714	protein	null
interferon alfacon-1	C0164613	protein	null
rituximab-abbs	C4741328	protein	null
rituximab-arrx	C5432357	protein	null
Intron A	C0751600	protein	null
interferon alfa-2b	C0021735	protein	null
Intron A (Interferon α2b)	C4721542	protein	null
desirudin	C0378366	protein	null
lepirudin	C0772394	protein	null
melphalan	C0025241	protein	null
mercaptopurine anhydrous	C1881785	protein	null
Melphalanum	C1513105	protein	null
Interferon Omega-1, human	C4281722	protein	null
ADO-TRASTUZUMAB	C3643461	protein	null
blinatumomab	C3853839	protein	null
Dinutuximab beta	C4722567	protein	null
dinutuximab	C0281581	protein	null
peginterferon beta-1a	C3848580	protein	null
Pegylated human interferon A-2B	C4519803	protein	null
interferon omega 1	C0083028	protein	null
Monoclonal antibody ch14.18	C5201238	protein	null
ropeginterferon alfa-2b	C4542175	protein	null
padeliporfin	C2698706	protein	null
BAX 855	C4309815	protein	null
cetuximab	C0995188	protein	null
Aerosolized pooled immune globulin	C5834386	protein	null
adalimumab-afzb	C5221181	protein	null
ropeginterferon alfa-2b-njft	C5561179	protein	null
Rurioctocog alfa pegol	C4765024	protein	null
mosunetuzumab	C4763385	protein	null
Intravenous immunoglobulin (IVIg)	C5834387	protein	null
adalimumab-atto	C4535390	protein	null
adalimumab-adaz	C4740830	protein	null
adalimumab-bwwd	C5195654	protein	null
infliximab-qbtx	C4541569	protein	null
infliximab-axxq	C5222083	protein	null
infliximab-dyyb	C4238106	protein	null
adalimumab-fkjp	C5398047	protein	null
adalimumab-adbm	C4530556	protein	null
infliximab-abda	C4490035	protein	null
trastuzumab-pkrb	C4741882	protein	null
trastuzumab-anns	C5187552	protein	null
efalizumab	C1174995	protein	null
Thymoglobulin	C0730920	protein	null
palivizumab	C0672596	protein	null
panitumumab	C0879427	protein	null
h5G1.1-scFv	C4508850	protein	null
pexelizumab	C0916853	protein	null
monoclonal antibody LL2	C0281743	protein	null
bectumomab	C0382120	protein	null
Monoclonal antibody B43.13	C5201003	protein	null
adecatumumab	C1741817	protein	null
MAb hMN14	C5442161	protein	null
fontolizumab	C1682646	protein	null
trastuzumab-dttb	C4758794	protein	null
trastuzumab-dkst	C4541579	protein	null
muromonab-CD3	C0085379	protein	null
ovine digoxin immune fab	C4083129	protein	null
rabbit anti-human T-lymphocyte globulin	C0359156	protein	null
natalizumab	C1172734	protein	null
daclizumab	C0663182	protein	null
Anti-VEGF Humanized Monoclonal Antibody	C5399960	protein	null
ABX-EGF MAb	C5441978	protein	null
galiximab	C1098262	protein	null
afelimomab	C0966666	protein	null
epratuzumab	C1120776	protein	null
oregovomab	C0664207	protein	null
IGN 311	C1722442	protein	null
labetuzumab	C1517701	protein	null
matuzumab	C1328134	protein	null
bavituximab	C1707382	protein	null
rozrolimupab	C3181260	protein	null
Girentuximab	C3536795	protein	null
monoclonal antibody XTL001	C1173476	protein	null
briakinumab	C2744325	protein	null
iratumumab	C1327954	protein	null
ramucirumab	C2742502	protein	null
farletuzumab	C2700602	protein	null
veltuzumab	C2746054	protein	null
ustekinumab	C1608841	protein	null
PRO-542	C0995194	protein	null
MYO-029	C4282167	protein	null
Stamulumab	C1721391	protein	null
CT-011	C3665678	protein	null
leronlimab	C4730999	protein	null
glembatumumab vedotin	C2935736	protein	null
olaratumab	C2698152	protein	null
IPH-2101	C2703118	protein	null
TB 402	C3177966	protein	null
obiltoxaximab	C4224790	protein	null
NAV 1800	C5139879	protein	null
otelixizumab	C2935224	protein	null
5F11 monoclonal antibody	C5700252	protein	null
enokizumab	C3273705	protein	null
7F3com-2H2	C5201206	protein	null
inotuzumab ozogamicin	C1567130	protein	null
HuLuc63	C4521041	protein	null
Chimeric anti-CD105 antibody	C5139961	protein	null
coltuximab ravtansine	C4508929	protein	null
2C4 antibody	C1434409	protein	null
Siplizumab	C1328709	protein	null
sibrotuzumab	C1260215	protein	null
Lerdelimumab	C1259830	protein	null
reslizumab	C1869620	protein	null
eldelumab	C4308878	protein	null
lumiliximab	C1327944	protein	null
canakinumab	C2718773	protein	null
ipilimumab	C1367202	protein	null
nimotuzumab	C1570308	protein	null
clenoliximab	C0909596	protein	null
Anti-Cripto-DM4	C5139973	protein	null
BIIB015	C2713087	protein	null
sonepcizumab	C2699489	protein	null
motavizumab	C2713599	protein	null
elotuzumab	C1832049	protein	null
carotuximab	C4727597	protein	null
XMAB-2513	C4044346	protein	null
lucatumumab	C2980061	protein	null
pertuzumab	C1328025	protein	null
apolizumab	C1122758	protein	null
Bivatuzumab	C5441925	protein	null
lexatumumab	C1721684	protein	null
Humanized OKT3	C5226648	protein	null
teplizumab	C2743673	protein	null
volociximab	C1541160	protein	null
HuMax-CD20	C1541395	protein	null
golimumab	C2353893	protein	null
SGN-30 monoclonal antibody	C1328236	protein	null
cAC10-vcMMAE	C4760489	protein	null
secukinumab	C3179547	protein	null
nivolumab	C3657270	protein	null
lymphocyte immune globulin, anti-thymocyte globulin, equine	C2756957	protein	null
daratumumab	C2346801	protein	null
necitumumab	C2352806	protein	null
ixekizumab	C3489764	protein	null
ravulizumab	C4550350	protein	null
varicella-zoster immune globulin	C0078049	protein	null
bapineuzumab	C2698328	protein	null
Denintuzumab mafodotin	C4086238	protein	null
depatuxizumab mafodotin	C4477221	protein	null
onartuzumab	C2826110	protein	null
teplizumab-mzwv	C5761814	protein	null
catumaxomab	C1831854	protein	null
denosumab	C1690432	protein	null
ofatumumab	C1832027	protein	null
HuMax-CD20, 2F2	C5201176	protein	null
BRENTUXIMAB	C3247294	protein	null
brentuximab vedotin	C2973446	protein	null
belimumab	C1723401	protein	null
raxibacumab	C2717174	protein	null
vedolizumab	C2742797	protein	null
dulaglutide	C3179549	protein	null
anthrax immune globulin, human	C4059023	protein	null
idarucizumab	C3885063	protein	null
evolocumab	C3529352	protein	null
ravulizumab-cwvz	C4745432	protein	null
atezolizumab	C4055433	protein	null
tetanus immune globulin	C4048265	protein	null
varicella zoster immune globulin (human)	C1372952	protein	null
conatumumab	C2346822	protein	null
tabalumab	C2984518	protein	null
ficlatuzumab	C2703138	protein	null
figitumumab	C2713009	protein	null
visilizumab	C3887822	protein	null
urelumab	C1831875	protein	null
patritumab	C3897976	protein	null
tarextumab	C4053948	protein	null
gevokizumab	C3179523	protein	null
GS-6624	C3266945	protein	null
simtuzumab	C4054022	protein	null
fasinumab	C4519593	protein	null
ganitumab	C2980089	protein	null
etaracizumab	C2350723	protein	null
polatuzumab vedotin	C4078806	protein	null
vanucizumab	C4331496	protein	null
tanezumab	C2346819	protein	null
fezakinumab	C2981359	protein	null
fresolimumab	C2987643	protein	null
Indusatumab vedotin	C4519726	protein	null
Anti-FOLR1-monoclonal-antibody-maytansinoid-conjugate-IMGN-853	C5770888	protein	null
mogamulizumab	C2987603	protein	null
solanezumab	C2935150	protein	null
LY2062430	C2935151	protein	null
SAR153191	C4519528	protein	null
REGN88	C4519527	protein	null
tremelimumab	C2351038	protein	null
brodalumab	C3491331	protein	null
sirukumab	C3254570	protein	null
lampalizumab	C4054668	protein	null
guselkumab	C3852217	protein	null
dalotuzumab	C2987605	protein	null
emibetuzumab	C4519736	protein	null
ublituximab	C4083151	protein	null
ligelizumab	C4041919	protein	null
seribantumab	C4042753	protein	null
landogrozumab	C4519737	protein	null
romosozumab	C3661283	protein	null
romosozumab-aqqg	C4765888	protein	null
vadastuximab talirine	C4086942	protein	null
lebrikizumab	C2981360	protein	null
varlilumab	C3896974	protein	null
avelumab	C4055417	protein	null
crenezumab	C3493199	protein	null
rilotumumab	C2743963	protein	null
AMG 102	C1879711	protein	null
anifrolumab-fnia	C5550556	protein	null
anifrolumab	C4519739	protein	null
ocrelizumab	C1882138	protein	null
gantenerumab	C2982066	protein	null
lorvotuzumab mertansine	C2987530	protein	null
fulranumab	C2981231	protein	null
Sotatercept	C2699571	protein	null
Duligotuzumab	C4055111	protein	null
tralokinumab	C3658667	protein	null
etrolizumab	C3177463	protein	null
zalutumumab	C1831978	protein	null
polatuzumab vedotin-piiq	C5140554	protein	null
inclacumab	C4078374	protein	null
cixutumumab	C2699335	protein	null
ascrinvacumab	C4519598	protein	null
GS-5745	C3827124	protein	null
labetuzumab govitecan	C4519108	protein	null
ensituximab	C2983727	protein	null
dusigitumab	C4519591	protein	null
GC1008	C1832030	protein	null
bococizumab	C4043705	protein	null
mirvetuximab soravtansine	C4288736	protein	null
mirvetuximab soravtansine-gynx	C5710447	protein	null
mavrilimumab	C2987425	protein	null
blosozumab	C3885232	protein	null
dacetuzumab	C2742509	protein	null
lumretuzumab	C4310393	protein	null
ibalizumab-uiyk	C4689607	protein	null
intetumumab	C1881068	protein	null
sifalimumab	C2986882	protein	null
ecromeximab	C1831744	protein	null
concizumab	C3494079	protein	null
rontalizumab	C2987428	protein	null
mogamulizumab-kpkc	C4719632	protein	null
plozalizumab	C4287798	protein	null
inebilizumab	C4519594	protein	null
inebilizumab-cdon	C5384327	protein	null
CAM-3001	C3468001	protein	null
bimagrumab	C3899948	protein	null
Tovetumab	C4519596	protein	null
ibalizumab	C1434792	protein	null
carlumab	C2346793	protein	null
demcizumab	C2698134	protein	null
Abituzumab	C4519733	protein	null
KW2871	C4551947	protein	null
crotedumab	C4519735	protein	null
depatuxizumab	C1872017	protein	null
amatuximab	C2987611	protein	null
BMS-945429	C4760811	protein	null
sacituzumab govitecan-hziy	C5244401	protein	null
bimekizumab	C4519734	protein	null
robatumumab	C4721939	protein	null
namilumab	C3273714	protein	null
clazakizumab	C4077748	protein	null
ozanezumab	C3885499	protein	null
sacituzumab govitecan	C4086837	protein	null
milatuzumab	C2716103	protein	null
rovalpituzumab tesirine	C4507507	protein	null
MT203	C5201207	protein	null
racotumomab	C2986854	protein	null
tregalizumab	C4519743	protein	null
olokizumab	C3885146	protein	null
bezlotoxumab	C4291320	protein	null
edrecolomab	C0279218	protein	null
cytomegalovirus immune globulin, human	C4281720	protein	null
IMMU-MN3	C5200977	protein	null
tildrakizumab-asmn	C4691413	protein	null
tildrakizumab	C4043954	protein	null
burosumab-twza	C4691480	protein	null
burosumab	C4301607	protein	null
erenumab-aooe	C4692289	protein	null
erenumab	C4542165	protein	null
eptinezumab	C4694272	protein	null
Sulesomab	C0529257	protein	null
besilesomab	C3660637	protein	null
galcanezumab-gnlm	C4731561	protein	null
fanolesomab	C1572727	protein	null
lecanemab	C5242453	protein	null
Immunoglobulin G1, anti-(human beta-amyloid protofibril) (human-mus musculus monoclonal BAN2401 heavy chain), disulfide with human-mus musculus monoclonal BAN2401 light chain, dimer	C4718967	protein	null
lanadelumab	C4505508	protein	null
lanadelumab-flyo	C4723206	protein	null
parsatuzumab	C4054246	protein	null
emactuzumab	C4078926	protein	null
89Zr-bevacizumab	C2826356	protein	null
refanezumab	C4726669	protein	null
UCB7665	C5226617	protein	null
RA-18C3	C5139938	protein	null
pamrevlumab	C5139936	protein	null
margetuximab	C4053695	protein	null
MLTA3698A	C4760786	protein	null
gremubamab	C5139896	protein	null
tafasitamab	C5139916	protein	null
Ipafricept	C3640817	protein	null
fremanezumab	C4549503	protein	null
galcanezumab	C4694273	protein	null
cemiplimab-rwlc	C4731528	protein	null
cemiplimab	C4724806	protein	null
emapalumab-lzsg	C4740903	protein	null
emapalumab	C4740904	protein	null
risankizumab	C4505511	protein	null
risankizumab-rzaa	C4766117	protein	null
camrelizumab	C4682408	protein	null
setrusumab	C4726749	protein	null
gancotamab	C5139892	protein	null
Anti-mesothelin antibody-drug conjugate BAY 94-9343	C3273944	protein	null
anetumab ravtansine	C4045305	protein	null
isatuximab-irfc	C5241853	protein	null
isatuximab	C4330502	protein	null
Icrucumab	C2698155	protein	null
codrituzumab	C4507381	protein	null
brolucizumab-dbll	C5209992	protein	null
brolucizumab	C4550124	protein	null
xentuzumab	C4508939	protein	null
lintuzumab	C1311738	protein	null
Vobarilizumab	C4727769	protein	null
MEGF0444A	C2983767	protein	null
rozanolixizumab	C4726717	protein	null
bermekimab	C4542166	protein	null
opicinumab	C4550038	protein	null
fam-trastuzumab deruxtecan-nxki	C5222084	protein	null
margetuximab-cmkb	C5432368	protein	null
Dalantercept	C2981815	protein	null
pateclizumab	C3529178	protein	null
tafasitamab-cxix	C5399324	protein	null
OMP-54F28	C4049114	protein	null
frovocimab	C5139891	protein	null
MEDI9929	C5226649	protein	null
tigatuzumab	C2973415	protein	null
telisotuzumab vedotin	C4743550	protein	null
PF-05082566	C3529795	protein	null
ponezumab	C3273712	protein	null
abrilumab	C4528222	protein	null
AMG-157	C5227766	protein	null
tezepelumab	C4550163	protein	null
utomilumab	C4331488	protein	null
zolbetuximab	C2827697	protein	null
suvratoxumab	C4726796	protein	null
nemolizumab	C4505530	protein	null
gedivumab	C5139893	protein	null
DMUC5754A	C3827130	protein	null
pidilizumab	C2346821	protein	null
Ladiratuzumab vedotin	C5139903	protein	null
anti-Tlr2 monoclonal antibody OPN-305	C3712029	protein	null
MNRP1685A	C2984519	protein	null
DCDT2980S	C3641731	protein	null
lulizumab pegol	C4078434	protein	null
EMD 273063	C1529682	protein	null
HU14.18-IL2	C4759782	protein	null
zenocutuzumab	C4726984	protein	null
Asunercept	C5139847	protein	null
mitazalimab	C5139905	protein	null
bleselumab	C5139884	protein	null
Sofituzumab vedotin	C4688397	protein	null
Istiratumab	C5139900	protein	null
GMA-161	C5139701	protein	null
SGN-LIV1A	C3827076	protein	null
tomaralimab	C4743551	protein	null
vesencumab	C5139919	protein	null
pinatuzumab vedotin	C4078700	protein	null
BMS-931699	C4079852	protein	null
lorukafusp alfa	C5139716	protein	null
naratuximab emtansine	C5139906	protein	null
Immunoglobulin g1, bispecific, anti-(human epidermal growth factor receptors, her2 and her3) (humanized clone mcla-128 .gamma.1-chain), disulfide with humanized clone mcla-128 light chain, dimer	C4549048	protein	null
maftivimab	C5417453	protein	null
odesivimab	C5417454	protein	null
belantamab mafodotin-blmf	C5399365	protein	null
ansuvimab	C5432324	protein	null
hepatitis B immune globulin	C0062525	protein	null
atoltivimab	C5417452	protein	null
odesivimab-ebgn	C5417490	protein	null
belantamab mafodotin	C5227411	protein	null
ansuvimab-zykl	C5432354	protein	null
bamlanivimab	C5421805	protein	null
Rho(D) immune globulin	C0073188	protein	null
dostarlimab	C5242455	protein	null
IVIgGM	C4744620	protein	null
Hsp-90mab	C5226417	protein	null
Mycograb	C1739735	protein	null
indatuximab ravtansine	C4547156	protein	null
magrolimab	C5227415	protein	null
olinvacimab	C5227445	protein	null
actoxumab	C4308583	protein	null
amivantamab	C5446297	protein	null
amivantamab-vmjw	C5450104	protein	null
Zaire ebolavirus (strain Kikwit-95) envelope glycoprotein	C5227851	protein	null
Imlifidase	C5139878	protein	null
darbepoetin alfa	C0937950	protein	null
epoetin zeta	C1997870	protein	null
Rho(D) immune globulin, human	C4082558	protein	null
dostarlimab-gxly	C5450069	protein	null
inolimomab	C0905677	protein	null
pentaglobulin	C0070286	protein	null
abagovomab	C1832044	protein	null
efungumab	C2605768	protein	null
foralumab	C2987422	protein	null
Anti-cd47 monoclonal antibody hu5f9-g4	C3896840	protein	null
5F9	C5770276	protein	null
volagidemab	C5227441	protein	null
Ebola Zaire Vaccine (rVSVG-ZEBOV-GP, live)	C5383288	protein	null
epoetin alfa-epbx	C4694938	protein	null
epoetin alfa	C0357126	protein	null
Recombinant Erythropoietin	C0376541	protein	null
epoetin theta	C2746991	protein	null
Epoetin gamma rDNA	C4256162	protein	null
peginesatide	C3179929	protein	null
epoetin beta	C0357131	protein	null
epoetin omega	C1872824	protein	null
Epoetin kappa	C4256161	protein	null
Epoetin epsilon	C4256163	protein	null
hematide	C1710272	protein	null
imdevimab	C5422689	protein	null
cilgavimab	C5432263	protein	null
sotrovimab	C5433947	protein	null
loncastuximab tesirine-lpyl	C5450070	protein	null
tisotumab vedotin-tftv	C5557442	protein	null
sutimlimab	C4727016	protein	null
spesolimab	C5238146	protein	null
denileukin diftitox	C0717670	protein	null
methoxy polyethylene glycol-epoetin beta	C1328071	protein	null
casirivimab	C5422688	protein	null
tixagevimab	C5432264	protein	null
loncastuximab tesirine	C5203804	protein	null
HuMax-TF-ADC	C3827178	protein	null
tisotumab vedotin	C4724800	protein	null
bebtelovimab	C5565647	protein	null
eflapegrastim	C3641654	protein	null
etanercept-szzs	C4291381	protein	null
etanercept-ykro	C5135562	protein	null
rhu TNFR:Fc	C4542001	protein	null
pegaspargase	C0071568	protein	null
alefacept	C0962603	protein	null
Begelomab	C4059170	protein	null
H.P. acthar gel	C5201181	protein	null
voclosporin	C2607219	protein	null
ozanimod	C4278675	protein	null
(melle-4)cyclosporin	C0290852	protein	null
rilonacept	C2343589	protein	null
GASTRIMMUNE	C1619625	protein	null
Gastrin 17C Diphtheria Toxoid Immunogen	C5834083	protein	null
Vitespen	C0393074	protein	null
TG4010	C0879624	protein	null
G17DT Immunogen	C5779657	protein	null
gastrin 17 vaccine	C0935889	protein	null
rindopepimut	C3181262	protein	null
vitespin	C1451037	protein	null
MVA-Muc1-IL2	C1527217	protein	null
Rotavirus Vaccines	C0597418	protein	null
diphtheria toxoid vaccine, inactivated	C0012551	protein	null
influenza A virus A/California/7/2009 (H1N1) antigen	C3888362	protein	null
Japanese encephalitis virus vaccine Nakayama-NIH strain, inactivated	C3474322	protein	null
typhoid Vi polysaccharide vaccine, S typhi Ty2 strain	C0078221	protein	null
Haemophilus influenzae type b strain 20752, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine	C2719943	protein	null
Influenza A virus A/Brisbane/59/2007(H1N1) hemagglutinin antigen (propiolactone inactivated)	C4762282	protein	null
rabies immune globulin, human	C0301503	protein	null
Hepatitis B Antigen Vaccine	C0796320	protein	null
Influenza A virus A/Victoria/210/2009 X-187 (H3N2) hemagglutinin antigen (formaldehyde inactivated)	C4718989	protein	null
tetanus toxoid vaccine, inactivated	C0305062	protein	null
Japanese Encephalitis Vaccines	C0771080	protein	null
influenza B virus B/Brisbane/60/2008 antigen	C4033637	protein	null
hepatitis B surface antigen vaccine	C0062527	protein	null
Influenza A virus A/California/7/2009 (H1N1) live (attenuated) antigen	C4718926	protein	null
influenza virus vaccine, live attenuated, A-Perth-16-2009 (H3N2) strain	C2927368	protein	null
Influenza A virus A/Uruguay/716/2007(H3N2) antigen (formaldehyde inactivated)	C4731005	protein	null
INFLUENZA A VIRUS A/BRISBANE/59/2007 (H1N1) HEMAGGLUTININ ANTIGEN (FORMALDEHYDE INACTIVATED)	C2364549	protein	null
vaccinia virus strain New York City Board of Health live antigen	C2700141	protein	null
pertussis vaccine	C0031237	protein	null
Plague Vaccine	C0032066	protein	null
varicella zoster virus glycoprotein E, recombinant	C4530095	protein	null
measles virus vaccine live, Enders' attenuated Edmonston strain	C2356367	protein	null
varicella-zoster virus vaccine live (Oka-Merck) strain	C3464497	protein	null
yellow fever vaccine	C0301508	protein	null
yellow fever virus strain 17D-204 live antigen	C2356374	protein	null
Anthrax Vaccine Adsorbed	C1329979	protein	null
Anthrax Vaccines	C0358297	protein	null
Bacillus anthracis strain V770-NP1-R antigens	C3535682	protein	null
