Disease	Disease_id	Therapeutic_area	Therapeutic_area_id	
Acute nonparalytic poliomyelitis	C0152998	Poliomyelitis	C0032371	
Postpoliomyelitis Syndrome	C0080040	Poliomyelitis	C0032371	
Vestibular Neuronitis	C0751908	Poliomyelitis	C0032371	
Erysipelas	C0014733	Dermatitis	C0011603	
Acrodermatitis	C0001197	Dermatitis	C0011603	
Contact Dermatitis	C0011616	Dermatitis	C0011603	
Photosensitivity Disorders	C0031762	Dermatitis	C0011603	
Neurodermatitis	C0027822	Dermatitis	C0011603	
Granuloma Annulare	C0085074	Dermatitis	C0011603	
Pyoderma	C0034212	Dermatitis	C0011603	
Granulomatous dermatitis	C0743086	Dermatitis	C0011603	
Pustulosis of Palms and Soles	C0030246	Dermatitis	C0011603	
Dermatitis acneiform	C0234894	Dermatitis	C0011603	
Dermatosis Papulosa Nigra	C0011645	Dermatitis	C0011603	
Spongiotic dermatitis	C0262984	Dermatitis	C0011603	
Seborrheic dermatitis	C0036508	Dermatitis	C0011603	
Pityriasis Rosea	C0032026	Dermatitis	C0011603	
Factitious skin disease	C1274184	Dermatitis	C0011603	
Tetanus neonatorum	C0343312	Tetanus	C0039614	
Adrenal Gland Diseases	C0001621	Endocrine System Diseases	C0014130	
Other and unspecified anterior pituitary hyperfunction	C0029493	Endocrine System Diseases	C0014130	
Thyroid Diseases	C0040128	Endocrine System Diseases	C0014130	
Other specified diseases of pancreas	C0029771	Endocrine System Diseases	C0014130	
Gonadal Disorders	C0018050	Endocrine System Diseases	C0014130	
Parathyroid Diseases	C0030517	Endocrine System Diseases	C0014130	
Central Precocious Puberty	C0342543	Endocrine System Diseases	C0014130	
Testotoxicosis	C1504412	Endocrine System Diseases	C0014130	
HEMOCHROMATOSIS, TYPE 3	C1858664	Hemochromatosis	C0018995	
HEMOCHROMATOSIS, TYPE 4	C1853733	Hemochromatosis	C0018995	
Hyaline Membrane Disease	C0020192	Acute respiratory failure	C0264490	
Pulmonary Edema	C0034063	Acute respiratory failure	C0264490	
Respiratory Distress Syndrome, Adult	C0035222	Acute respiratory failure	C0264490	
Neonatal respiratory failure	C0521648	Acute respiratory failure	C0264490	
Familial hyperaldosteronism type 1	C3838731	Hyperaldosteronism	C0020428	
Hypercortisolism due to macronodular adrenal hyperplasia	C2062388	Hyperaldosteronism	C0020428	
Brown-Sequard Syndrome	C0242644	Paraplegia	C0030486	
Spastic Paraplegia, Hereditary	C0037773	Paraplegia	C0030486	
Vertebrobasilar Insufficiency	C0042568	Transient Ischemic Attack	C0007787	
Myocardial Stunning	C0206146	Myocardial Infarction	C0027051	
Acute myocardial infarction	C0155626	Myocardial Infarction	C0027051	
Anteroseptal Myocardial Infarction	C0262565	Myocardial Infarction	C0027051	
Silent myocardial infarction	C0340324	Myocardial Infarction	C0027051	
Lateral myocardial infarction	C0340312	Myocardial Infarction	C0027051	
Inferolateral Myocardial Infarction by ECG Finding	C3537017	Myocardial Infarction	C0027051	
Posterolateral Myocardial Infarction by ECG Finding	C3642463	Myocardial Infarction	C0027051	
Inferior Wall Myocardial Infarction	C0340305	Myocardial Infarction	C0027051	
Subendocardial Myocardial Infarction by ECG Finding	C3642476	Myocardial Infarction	C0027051	
Apical Myocardial Infarction by ECG Finding	C3642319	Myocardial Infarction	C0027051	
Posterior myocardial infarction	C0340319	Myocardial Infarction	C0027051	
Septal myocardial infarction	C0746727	Myocardial Infarction	C0027051	
Anterolateral Myocardial Infarction	C0262564	Myocardial Infarction	C0027051	
Posteroinferior Myocardial Infarction by ECG Finding	C3642318	Myocardial Infarction	C0027051	
Thrombophilia	C0398623	Blood Coagulation Disorders	C0005779	
Afibrinogenemia	C0001733	Blood Coagulation Disorders	C0005779	
Factor XII Deficiency	C0015526	Blood Coagulation Disorders	C0005779	
Factor XI Deficiency	C0015523	Blood Coagulation Disorders	C0005779	
Factor X Deficiency	C0015519	Blood Coagulation Disorders	C0005779	
Blood Platelet Disorders	C0005818	Blood Coagulation Disorders	C0005779	
Bernard-Soulier Syndrome	C0005129	Blood Coagulation Disorders	C0005779	
Hereditary Factor V Deficiency	C0015499	Blood Coagulation Disorders	C0005779	
Factor VII Deficiency	C0015503	Blood Coagulation Disorders	C0005779	
Hemorrhagic Disorders	C0019087	Blood Coagulation Disorders	C0005779	
Hereditary Factor XIII Deficiency	C0015530	Blood Coagulation Disorders	C0005779	
von Willebrand Disease	C0042974	Blood Coagulation Disorders	C0005779	
Hemophilia B	C0008533	Blood Coagulation Disorders	C0005779	
Hemophilia A	C0019069	Blood Coagulation Disorders	C0005779	
Hereditary combined deficiency of vitamin K-dependent clotting factors	C4510617	Blood Coagulation Disorders	C0005779	
High molecular weight kininogen deficiency	C0272340	Blood Coagulation Disorders	C0005779	
Acquired von Willebrand disease	C0272362	Blood Coagulation Disorders	C0005779	
Scott Syndrome	C0796149	Blood Coagulation Disorders	C0005779	
Heart Failure, Diastolic	C1135196	Congestive heart failure	C0018802	
Heart Failure, Systolic	C1135191	Congestive heart failure	C0018802	
Cor pulmonale	C0034072	Congestive heart failure	C0018802	
Congestive rheumatic heart failure	C0155582	Congestive heart failure	C0018802	
Cardiopulmonary Arrest	C0600228	Congestive heart failure	C0018802	
Other emphysema	C0029607	Chronic Obstructive Airway Disease	C0024117	
Iodine hypothyroidism	C0154159	Hypothyroidism	C0020676	
Postoperative hypothyroidism	C0154157	Hypothyroidism	C0020676	
Myxedema	C0027145	Hypothyroidism	C0020676	
Thyroid Hormone Resistance Syndrome	C2940786	Hypothyroidism	C0020676	
Endemic Cretinism	C0342200	Hypothyroidism	C0020676	
Adult-Onset Still Disease	C0085253	Rheumatoid Arthritis	C0003873	
Juvenile Chronic Polyarthritis	C0409667	Rheumatoid Arthritis	C0003873	
Parapsoriasis	C0030491	Psoriasis	C0033860	
Colitis	C0009319	Inflammatory Bowel Diseases	C0021390	
Crohn's disease of large bowel	C0156147	Inflammatory Bowel Diseases	C0021390	
Chronic left-sided ulcerative colitis	C0375359	Colitis	C0009319	
Other and unspecified noninfectious gastroenteritis and colitis	C0029512	Colitis	C0009319	
Enteritis, Pseudomembranous	C1257845	Colitis	C0009319	
Colitis, Microscopic	C0400821	Colitis	C0009319	
Colitis, Ischemic	C0162529	Colitis	C0009319	
Diabetic Polyneuropathies	C0271680	Diabetic Neuropathies	C0011882	
Anti-Glomerular Basement Membrane Disease	C0403529	Lung diseases	C0024115	
Maple-bark strippers' lung	C0155890	Lung diseases	C0024115	
Pneumonia	C0032285	Lung diseases	C0024115	
Silo Filler's Disease	C0037120	Lung diseases	C0024115	
Primary atelectasis, in perinatal period	C0270163	Lung diseases	C0024115	
Plasma Cell Granuloma, Pulmonary	C0085269	Lung diseases	C0024115	
Pulmonary lymphangioleiomyomatosis	C0349649	Lung diseases	C0024115	
Lung Diseases, Interstitial	C0206062	Lung diseases	C0024115	
Tuberculosis, Pulmonary	C0041327	Lung diseases	C0024115	
Bronchiolitis	C0006271	Lung diseases	C0024115	
Middle Lobe Syndrome	C0026069	Lung diseases	C0024115	
Lung Diseases, Obstructive	C0600260	Lung diseases	C0024115	
Pulmonary tularemia	C0339946	Lung diseases	C0024115	
Acute Chest Syndrome	C0742343	Lung diseases	C0024115	
Lung disease with systemic sclerosis	C0339904	Lung diseases	C0024115	
Sarcoidosis, Pulmonary	C0036205	Lung diseases	C0024115	
Malignant neoplasm of other parts of bronchus or lung	C0153493	Lung diseases	C0024115	
Granulomatosis with polyangiitis	C3495801	Lung diseases	C0024115	
Pulmonary Alveolar Proteinosis	C0034050	Lung diseases	C0024115	
Idiopathic pulmonary hemosiderosis	C0020807	Lung diseases	C0024115	
Pulmonary Alveolar Microlithiasis	C0155912	Lung diseases	C0024115	
Lung Abscess	C0024110	Lung diseases	C0024115	
Lung, Hyperlucent	C0524799	Lung diseases	C0024115	
Pneumonic Plague	C0524688	Lung diseases	C0024115	
Dirofilariasis	C0012602	Lung diseases	C0024115	
Meconium Aspiration Syndrome	C0025048	Lung diseases	C0024115	
Acute respiratory failure	C0264490	Lung diseases	C0024115	
Pneumocystis jiroveci pneumonia	C1535939	Lung diseases	C0024115	
Corticosteroid-induced glaucoma	C0339578	Glaucoma	C0017601	
Preglaucoma	C0549470	Glaucoma	C0017601	
Glaucoma, Neovascular	C0017609	Glaucoma	C0017601	
Angle Closure Glaucoma	C0017605	Glaucoma	C0017601	
Glaucoma associated with ocular trauma	C0339594	Glaucoma	C0017601	
Glaucoma associated with other lens disorders	C0154959	Glaucoma	C0017601	
Blind hypertensive eye	C0154789	Glaucoma	C0017601	
aqueous misdirection	C1135189	Glaucoma	C0017601	
Hypersecretion glaucoma	C0154968	Glaucoma	C0017601	
Glaucoma, Open-Angle	C0017612	Glaucoma	C0017601	
Tuberculosis of bladder	C0152793	Urinary Bladder Diseases	C0005686	
Female stress incontinence	C0038437	Urinary Bladder Diseases	C0005686	
Cystitis	C0010692	Urinary Bladder Diseases	C0005686	
Bladder neck obstruction	C0005694	Urinary Bladder Diseases	C0005686	
Schistosoma hematobium infection	C0276926	Urinary Bladder Diseases	C0005686	
Detrusor and sphincter dyssynergia	C0341747	Urinary Bladder Diseases	C0005686	
Low compliance bladder	C0489967	Urinary Bladder Diseases	C0005686	
Neurogenic Urinary Bladder	C0005697	Urinary Bladder Diseases	C0005686	
Bladder Diverticulum	C0156273	Urinary Bladder Diseases	C0005686	
Overactive Bladder	C0878773	Urinary Bladder Diseases	C0005686	
Acquired Immunodeficiency Syndrome	C0001175	HIV Infections	C0019693	
Nonspecific interstitial pneumonia	C1290344	Hamman-Rich syndrome	C0085786	
Acute interstitial pneumonia	C1279945	Hamman-Rich syndrome	C0085786	
Desquamative interstitial pneumonia	C0238378	Hamman-Rich syndrome	C0085786	
Bronchiolitis Obliterans Organizing Pneumonia	C0242770	Hamman-Rich syndrome	C0085786	
Necrotizing Enterocolitis	C0520459	Digestive System Disorders	C0012242	
Gastroesophageal reflux disease	C0017168	Digestive System Disorders	C0012242	
Other specified peritonitis	C0029823	Digestive System Disorders	C0012242	
Stomach Diseases	C0038354	Digestive System Disorders	C0012242	
Peptic Ulcer	C0030920	Digestive System Disorders	C0012242	
Esophageal Diseases	C0014852	Digestive System Disorders	C0012242	
Intestinal Diseases	C0021831	Digestive System Disorders	C0012242	
Mouth Diseases	C0026636	Digestive System Disorders	C0012242	
Malignant neoplasm of gastrointestinal tract	C0685938	Digestive System Disorders	C0012242	
hepatobiliary disease	C0267792	Digestive System Disorders	C0012242	
Gastroenteritis	C0017160	Digestive System Disorders	C0012242	
Enteric tularemia	C0152942	Digestive System Disorders	C0012242	
Gastrointestinal anthrax	C0152945	Digestive System Disorders	C0012242	
Dysentery	C0013369	Digestive System Disorders	C0012242	
Gall Bladder Diseases	C0016977	Digestive System Disorders	C0012242	
Causalgia	C0007462	Complex Regional Pain Syndromes	C0458219	
Reflex Sympathetic Dystrophy	C0034931	Complex Regional Pain Syndromes	C0458219	
Algoneurodystrophy	C0205930	Complex Regional Pain Syndromes	C0458219	
True posterior wall infarction, episode of care unspecified	C0155652	Acute myocardial infarction	C0155626	
Acute myocardial infarction of anterolateral wall	C0155627	Acute myocardial infarction	C0155626	
Acute myocardial infarction, of inferolateral wall, episode of care unspecified	C0155636	Acute myocardial infarction	C0155626	
Acute myocardial infarction of inferoposterior wall, episode of care unspecified	C0155640	Acute myocardial infarction	C0155626	
Acute myocardial infarction, subendocardial infarction	C0155655	Acute myocardial infarction	C0155626	
Acute atopic conjunctivitis	C0001309	Allergic Conjunctivitis	C0009766	
Idiopathic Pulmonary Fibrosis	C1800706	Pulmonary Fibrosis	C0034069	
Post-inflammatory pulmonary fibrosis	C0175999	Pulmonary Fibrosis	C0034069	
Diffuse Pulmonary Fibrosis	C0865849	Pulmonary Fibrosis	C0034069	
Localized pulmonary fibrosis	C0340127	Pulmonary Fibrosis	C0034069	
Female Orgasmic Disorder	C0033948	Female Genital Diseases	C0017411	
Premenstrual Tension	C0376356	Female Genital Diseases	C0017411	
Parovarian Cyst	C0030584	Female Genital Diseases	C0017411	
Gynatresia	C0018414	Female Genital Diseases	C0017411	
Uterine Diseases	C0042131	Female Genital Diseases	C0017411	
Endometriosis	C0014175	Female Genital Diseases	C0017411	
Vulvovaginitis	C0042998	Female Genital Diseases	C0017411	
Vulvar Diseases	C0042994	Female Genital Diseases	C0017411	
Fallopian Tube Diseases	C0015556	Female Genital Diseases	C0017411	
Broad ligament laceration syndrome	C0152079	Female Genital Diseases	C0017411	
Amenorrhea	C0002453	Female Genital Diseases	C0017411	
Other specified genital prolapse	C0029801	Female Genital Diseases	C0017411	
Prolapse and hernia of ovary and fallopian tube	C0495094	Female Genital Diseases	C0017411	
Vaginal Diseases	C0042251	Female Genital Diseases	C0017411	
Malignant Female Reproductive System Neoplasm	C0699889	Female Genital Diseases	C0017411	
Ovarian Diseases	C0029928	Female Genital Diseases	C0017411	
Pelvic Inflammatory Disease	C0242172	Female Genital Diseases	C0017411	
Ectopic Pregnancy	C0032987	Female Genital Diseases	C0017411	
Endometriosis of ovary	C0156344	Endometriosis	C0014175	
Endometriosis of rectovaginal septum and vagina	C0156346	Endometriosis	C0014175	
Endometriosis in scar of skin	C0156348	Endometriosis	C0014175	
Endometriosis of pelvic peritoneum	C0156345	Endometriosis	C0014175	
Endosalpingiosis	C0269106	Endometriosis	C0014175	
Endometriosis of fallopian tube	C0014177	Endometriosis	C0014175	
Low Tension Glaucoma	C0152136	Glaucoma, Open-Angle	C0017612	
Glaucoma, Primary Open Angle	C0339573	Glaucoma, Open-Angle	C0017612	
Residual stage of open angle glaucoma	C0154944	Glaucoma, Open-Angle	C0017612	
Arteriolosclerosis	C0878486	Arteriosclerosis	C0003850	
Intracranial Arteriosclerosis	C0007771	Arteriosclerosis	C0003850	
Arteriosclerotic cardiovascular disease, NOS	C3665365	Arteriosclerosis	C0003850	
Intermittent Claudication	C0021775	Arteriosclerosis	C0003850	
Arteriosclerosis Obliterans	C0003851	Arteriosclerosis	C0003850	
Hypertensive Encephalopathy	C0151620	Intracranial Hypertension	C0151740	
Pseudotumor Cerebri	C0033845	Intracranial Hypertension	C0151740	
Septicemic Plague	C0152936	Plague	C0032064	
Active cochlear Ménière's disease	C0155497	Meniere Disease	C0025281	
Active vestibular Ménière's disease	C0155498	Meniere Disease	C0025281	
Active cochleovestibular Ménière's disease	C0155496	Meniere Disease	C0025281	
Rheumatic fever without heart involvement	C0264743	Bacterial Infections	C0004623	
Andersen Syndrome	C1563715	Long QT Syndrome	C0023976	
Jervell-Lange Nielsen Syndrome	C0022387	Long QT Syndrome	C0023976	
Chronic Obstructive Airway Disease	C0024117	Lung Diseases, Obstructive	C0600260	
Pericoronitis	C0031055	Gingival Diseases	C0017563	
Acute gingivitis	C0155937	Gingival Diseases	C0017563	
Gingival Overgrowth	C0376480	Gingival Diseases	C0017563	
Localized gingival recession	C0266916	Gingival Diseases	C0017563	
Periapical Periodontitis	C0031030	Periodontitis	C0031099	
Periodontitis, Juvenile	C0031106	Periodontitis	C0031099	
Acute periodontitis	C0001342	Periodontitis	C0031099	
Idiopathic osteoporosis	C0158447	Osteoporosis	C0029456	
Persistent Fetal Circulation Syndrome	C0031190	Pulmonary Hypertension	C0020542	
Pulmonary Veno-Occlusive Disease (disorder)	C0034091	Pulmonary Hypertension	C0020542	
Obstetric pulmonary embolism	C0157540	Pulmonary Embolism	C0034065	
Hepatic Coma	C0019147	Hepatic Encephalopathy	C0019151	
Other specified gastritis	C0029800	Peptic Ulcer	C0030920	
Peptic Ulcer Perforation	C0030925	Peptic Ulcer	C0030920	
Duodenal Ulcer	C0013295	Peptic Ulcer	C0030920	
Acute gastrojejunal ulcer with hemorrhage	C0156042	Peptic Ulcer	C0030920	
Gastric ulcer	C0038358	Peptic Ulcer	C0030920	
Rosacea conjunctivitis	C0155152	Conjunctivitis	C0009763	
Bacterial conjunctivitis	C0009768	Conjunctivitis	C0009763	
Chronic conjunctivitis	C0155145	Conjunctivitis	C0009763	
Papillary conjunctivitis	C0854165	Conjunctivitis	C0009763	
Other mucopurulent conjunctivitis	C0029668	Conjunctivitis	C0009763	
Chronic rhinitis	C0008711	Rhinitis	C0035455	
Rhinitis, Atrophic	C0035459	Rhinitis	C0035455	
Rhinitis, Vasomotor	C0035460	Rhinitis	C0035455	
Atopic rhinitis	C0002103	Rhinitis	C0035455	
Lichen Planus	C0023646	Lichen disease	C0023643	
Lichen Nitidus	C0162849	Lichen disease	C0023643	
Periostitis	C0031111	Connective Tissue Diseases	C0009782	
Interstitial keratitis	C0155088	Connective Tissue Diseases	C0009782	
Fasciitis	C0015645	Connective Tissue Diseases	C0009782	
Fibromatosis, Plantar	C0158360	Connective Tissue Diseases	C0009782	
Collagen Diseases	C0009326	Connective Tissue Diseases	C0009782	
Mediastinitis	C0025064	Connective Tissue Diseases	C0009782	
Lipodystrophy	C0023787	Connective Tissue Diseases	C0009782	
Volkmann Contracture	C0042951	Connective Tissue Diseases	C0009782	
Dental Pulp Diseases	C0011405	Connective Tissue Diseases	C0009782	
Cellulitis of hand	C0007646	Connective Tissue Diseases	C0009782	
Mucinoses	C0162855	Connective Tissue Diseases	C0009782	
Pseudoxanthoma Elasticum	C0033847	Connective Tissue Diseases	C0009782	
Synovitis	C0039103	Connective Tissue Diseases	C0009782	
Enthesopathy	C0242490	Connective Tissue Diseases	C0009782	
Neoplasms, Connective Tissue	C0027656	Connective Tissue Diseases	C0009782	
Marfan Syndrome	C0024796	Connective Tissue Diseases	C0009782	
Ochronosis	C0028817	Connective Tissue Diseases	C0009782	
Frozen shoulder	C0311223	Connective Tissue Diseases	C0009782	
Fibrodysplasia Ossificans Progressiva	C0016037	Connective Tissue Diseases	C0009782	
Cartilage Diseases	C0007302	Connective Tissue Diseases	C0009782	
Ainhum	C0001860	Connective Tissue Diseases	C0009782	
Hyalinosis, Systemic	C2745948	Connective Tissue Diseases	C0009782	
Vertical Talus	C0240912	Connective Tissue Diseases	C0009782	
Bone Diseases	C0005940	Connective Tissue Diseases	C0009782	
Soft Tissue Neoplasms	C0037579	Connective Tissue Diseases	C0009782	
Diabetic Autonomic Neuropathy	C0271686	Autonomic neuropathy	C0259749	
Horner Syndrome	C0019937	Autonomic neuropathy	C0259749	
Polyarteritis Nodosa	C0031036	Vasculitis	C0042384	
Vasculitis, Central Nervous System	C0751878	Vasculitis	C0042384	
Shwartzman Phenomenon	C0037018	Vasculitis	C0042384	
Eosinophilic granulomatosis with polyangiitis	C0008728	Vasculitis	C0042384	
Granulomatous Angiitis	C0018202	Vasculitis	C0042384	
Takayasu Arteritis	C0039263	Vasculitis	C0042384	
Behcet Syndrome	C0004943	Vasculitis	C0042384	
Retinal Vasculitis	C0152026	Vasculitis	C0042384	
Erythema elevatum diutinum	C0263398	Vasculitis	C0042384	
Pancreatitis, Alcoholic	C0376670	Pancreatitis	C0030305	
Acute pancreatitis	C0001339	Pancreatitis	C0030305	
Gastritis, Atrophic	C0017154	Gastritis	C0017152	
Gastritis, Hypertrophic	C0017155	Gastritis	C0017152	
Alcoholic gastritis	C0156076	Gastritis	C0017152	
Granulomatous gastritis	C1112577	Gastritis	C0017152	
Necrotising gastritis	C0877152	Gastritis	C0017152	
Lymphocytic gastritis	C1283271	Gastritis	C0017152	
Gastritis caused by fungus	C0948638	Gastritis	C0017152	
Gastritis caused by bacterium	C0948039	Gastritis	C0017152	
Eosinophilic gastritis	C0267154	Gastritis	C0017152	
Acute endometritis	C0238103	Endometritis	C0014179	
Granulomatous Endometritis	C1333876	Endometritis	C0014179	
Non Specific Chronic Endometritis	C1335061	Endometritis	C0014179	
Mastocytosis, Systemic	C0221013	Mastocytosis	C0024899	
Aggressive Systemic Mastocytosis	C1112486	Mastocytosis, Systemic	C0221013	
Systemic mastocytosis with associated clonal, hematologic non-mast-cell lineage disease	C1301365	Mastocytosis, Systemic	C0221013	
Indolent Systemic Mastocytosis	C0272203	Mastocytosis, Systemic	C0221013	
Pelger-Huet Anomaly	C0030779	Hematological Disease	C0018939	
Leukocyte Disorders	C0023510	Hematological Disease	C0018939	
Blood Protein Disorders	C0005830	Hematological Disease	C0018939	
Bone Marrow Diseases	C0005956	Hematological Disease	C0018939	
Blood Group Incompatibility	C0005806	Hematological Disease	C0018939	
Hematopoietic Neoplasms	C0376544	Hematological Disease	C0018939	
Elliptocytosis, Hereditary	C0013902	Hematological Disease	C0018939	
Anemia	C0002871	Hematological Disease	C0018939	
Blood Coagulation Disorders	C0005779	Hematological Disease	C0018939	
Thrombocytopenia, Platelet Dysfunction, Hemolysis, and Imbalanced Globin Synthesis	C1839161	Hematological Disease	C0018939	
Vitamin D-dependent rickets	C0221468	Hematological Disease	C0018939	
Cystitis cystica	C0152262	Cystitis	C0010692	
Irradiation cystitis	C0156270	Cystitis	C0010692	
Other chronic cystitis	C0156268	Cystitis	C0010692	
Interstitial Cystitis	C0282488	Cystitis	C0010692	
Trigonitis	C1261278	Cystitis	C0010692	
Diphtheritic cystitis	C0152954	Cystitis	C0010692	
Acute cystitis	C0149523	Cystitis	C0010692	
Prostatocystitis	C0156291	Cystitis	C0010692	
Nephrogenic Diabetes Insipidus	C0162283	Diabetes Insipidus	C0011848	
Degeneration of macula and posterior pole of retina	C0339436	Macular degeneration	C0024437	
Toxoplasmosis, Congenital	C0040560	Toxoplasmosis	C0040558	
Space Motion Sickness	C0242700	Motion Sickness	C0026603	
Neonatal candidiasis	C0276682	Candidiasis	C0006840	
Candidiasis, Vulvovaginal	C0700345	Candidiasis	C0006840	
Atherosclerosis of aorta	C0155733	Atherosclerosis	C0004153	
Cerebral Atherosclerosis	C0007775	Atherosclerosis	C0004153	
Generalized atherosclerosis	C0017327	Atherosclerosis	C0004153	
Atherosclerosis	C0004153	Arteriosclerotic cardiovascular disease, NOS	C3665365	
Complement deficiency disease	C0272242	Immunologic Deficiency Syndromes	C0021051	
Ankylosing spondylitis and other inflammatory spondylopathies	C0003089	Immunologic Deficiency Syndromes	C0021051	
Phagocyte Bactericidal Dysfunction	C0031306	Immunologic Deficiency Syndromes	C0021051	
Other selective immunoglobulin deficiencies	C0154276	Immunologic Deficiency Syndromes	C0021051	
Epidermodysplasia Verruciformis	C0014522	Immunologic Deficiency Syndromes	C0021051	
Congenital T-Cell Immunodeficiency	C1333147	Immunologic Deficiency Syndromes	C0021051	
IMMUNODEFICIENCY 47	C4310819	Immunologic Deficiency Syndromes	C0021051	
WHIM syndrome	C0472817	Immunologic Deficiency Syndromes	C0021051	
Benign essential hypertension (disorder)	C0155583	Essential Hypertension	C0085580	
Malignant essential hypertension	C0024588	Essential Hypertension	C0085580	
Biliary Tract Diseases	C0005424	hepatobiliary disease	C0267792	
Liver diseases	C0023895	hepatobiliary disease	C0267792	
Mixed malaria	C0153121	Malaria	C0024530	
Quartan malaria	C0024536	Malaria	C0024530	
Malaria, Cerebral	C0024534	Malaria	C0024530	
Blackwater Fever	C0005681	Malaria	C0024530	
Malaria, Falciparum	C0024535	Malaria	C0024530	
Malaria, Vivax	C0024537	Malaria	C0024530	
Ovale malaria	C0152072	Malaria	C0024530	
Chondrocalcinosis due to dicalcium phosphate crystals	C0157852	Arthritis	C0003864	
Palindromic rheumatism of shoulder region	C0158178	Arthritis	C0003864	
Gout	C0018099	Arthritis	C0003864	
Post-dysenteric arthropathy	C0152085	Arthritis	C0003864	
Rheumatoid Arthritis	C0003873	Arthritis	C0003864	
Unspecified infective arthritis, ankle and foot	C0157849	Arthritis	C0003864	
Osteoarthrosis, localized, not specified whether primary or secondary	C0157946	Arthritis	C0003864	
Arthritis, Psoriatic	C0003872	Arthritis	C0003864	
Diffuse alopecia areata	C0263479	Alopecia Areata	C0002171	
Dermatitis, Toxicodendron	C0032342	Dermatitis, Allergic Contact	C0162820	
Dermatitis, Photoallergic	C0162824	Dermatitis, Allergic Contact	C0162820	
Dermatitis, Atopic	C0011615	Dermatitis, Allergic Contact	C0162820	
Allergy to formaldehyde	C0571339	Dermatitis, Allergic Contact	C0162820	
Neomycin sulfate allergy	C1443961	Dermatitis, Allergic Contact	C0162820	
Benzoic acid allergy	C0571102	Dermatitis, Allergic Contact	C0162820	
Villonodular synovitis	C0158168	Arthropathy associated with infection	C0157749	
Other ganglion and cyst of synovium, tendon, and bursa	C0158336	Arthropathy associated with infection	C0157749	
Hemarthrosis	C0018924	Arthropathy associated with infection	C0157749	
Effusion of joint, other specified sites	C0158157	Arthropathy associated with infection	C0157749	
Bursitis	C0006444	Arthropathy associated with infection	C0157749	
Ankylosis	C0003090	Arthropathy associated with infection	C0157749	
Transient arthropathy	C0152083	Arthropathy associated with infection	C0157749	
Arthropathy in Behcet's syndrome	C0157770	Arthropathy associated with infection	C0157749	
Neurogenic arthropathy	C0003892	Arthropathy associated with infection	C0157749	
Patellofemoral Pain Syndrome	C0877149	Arthropathy associated with infection	C0157749	
Shoulder Impingement Syndrome	C0376685	Arthropathy associated with infection	C0157749	
De Quervain Disease	C0149870	Arthropathy associated with infection	C0157749	
Hypermobility syndrome	C0152093	Arthropathy associated with infection	C0157749	
Synovial Plica Syndrome	C0878705	Arthropathy associated with infection	C0157749	
Spondylarthropathies	C0949691	Arthropathy associated with infection	C0157749	
Osteoarthropathy, Secondary Hypertrophic	C0029412	Arthropathy associated with infection	C0157749	
Peptic Esophagitis	C0014869	Esophagitis	C0014868	
Eosinophilic esophagitis	C0341106	Esophagitis	C0014868	
Bacterial esophagitis	C0341108	Esophagitis	C0014868	
Transient Ischemic Attack	C0007787	Brain Ischemia	C0007786	
Dysentery	C0013369	Intestinal infectious disease (disorder)	C0178238	
Oguchi disease	C1306122	Night Blindness	C0028077	
Abnormal dark adaptation curve	C0155019	Night Blindness	C0028077	
Multiple Sclerosis	C0026769	Demyelinating Diseases	C0011303	
Myelinolysis, Central Pontine	C0206083	Demyelinating Diseases	C0011303	
Colitis, Lymphocytic	C0400822	Colitis, Microscopic	C0400821	
Colitis, Collagenous	C0238067	Colitis, Microscopic	C0400821	
Adenosis of Breast	C0085750	Breast Diseases	C0006145	
Breast Angiomatosis	C1511284	Breast Diseases	C0006145	
Infant Gynecomastia	C1449721	Breast Diseases	C0006145	
Fat necrosis of breast	C0156321	Breast Diseases	C0006145	
Mastitis	C0024894	Breast Diseases	C0006145	
Hypertrophy of Breast	C0020565	Breast Diseases	C0006145	
Christ-Siemens-Touraine syndrome	C0162359	Christ-Siemens-Touraine syndrome	C0162359	
Thrombophilia, X-Linked, Due To Factor Ix Defect	C2749016	Thrombophilia	C0398623	
Heparin cofactor II deficiency (disorder)	C0398626	Thrombophilia	C0398623	
Thrombophilia due to Activated Protein C Resistance	C1861171	Thrombophilia	C0398623	
Thrombophilia Due To Histidine-Rich Glycoprotein Deficiency	C2751090	Thrombophilia	C0398623	
Thrombophilia, Familial, Due To Decreased Release Of Tissue Plasminogen Activator	C2676721	Thrombophilia	C0398623	
THROMBOPHILIA DUE TO THROMBIN DEFECT	C3160733	Thrombophilia	C0398623	
Thrombophilia due to Thrombomodulin Defect	C3280976	Thrombophilia	C0398623	
Purpura, Thrombotic Thrombocytopenic	C0034155	Thrombophilia	C0398623	
Disseminated Intravascular Coagulation	C0012739	Thrombophilia	C0398623	
Hereditary factor II deficiency disease	C0272317	Thrombophilia	C0398623	
Protein S Deficiency	C0242666	Thrombophilia	C0398623	
Antithrombin III Deficiency	C0272375	Thrombophilia	C0398623	
Protein C Deficiency	C0398625	Thrombophilia	C0398623	
Immune-complex glomerulonephritis	C0744421	Glomerulonephritis	C0017658	
Mesangial proliferative glomerulonephritis	C0221238	Glomerulonephritis	C0017658	
Subacute glomerulonephritis	C1263744	Glomerulonephritis	C0017658	
Glomerulonephritis diffuse	C0859036	Glomerulonephritis	C0017658	
