Drug	Drug_id	RELATION	PROVENANCE	Gene	Gene_id
tiagabine	C0068897	INHIBITS	["35676483_fullText_5"]	SLC6A1 gene	C1420206
Tetradecanoylphorbol Acetate	C0039654	INHIBITS	["7535766_fullText_7"]	PRRT2 wt Allele	C3539645
Lorazepam	C0024002	compared_with	["35287982_fullText_1"]	SRSF6 gene	C1419997
tadalafil	C1176316	compared_with	["35362820_fullText_4"]	SLC27A4 wt Allele	C3811063
Benzopyrans	C0005078	INHIBITS	["35362382_fullText_4"]	EPR1 gene	C1414436
Levamisole	C0023556	COEXISTS_WITH	["35858330_fullText_7"]	Wild Type	C1883559
SK&F 81297	C0084563	INHIBITS	["35077763_fullText_6"]	GRIN2B gene	C1415300
SK&F 81297	C0084563	INHIBITS	["35077763_fullText_6"]	GRIN2A gene	C1415299
Moxidectin	C0163557	INHIBITS	["35331907_fullText_6"]	ABCB1 gene	C0376622
Combination Medication	C1516710	COEXISTS_WITH	["35287982_fullText_11"]	SRSF6 gene	C1419997
Interferon Type II	C0021745	PRODUCES	["38680020_fullText_7"]	NDUFS4 gene	C1417647
Alprazolam	C0002333	INHIBITS	["37220781_fullText_3"]	CTSL1 wt Allele	C1707163
Guanidines	C0018320	INHIBITS	["34863711_fullText_2"]	IMPACT gene	C1825598
sodium dehydroacetate	C0142831	STIMULATES	["30446579_fullText_39"]	FAR1 gene	C1428564
Decongestants	C0282374	COEXISTS_WITH	["35060618_fullText_15"]	NDUFS4 gene	C1417647
Oligosaccharides	C0028959	COEXISTS_WITH	["9265969_fullText_5","26785728_fullText_181"]	PMM2 gene	C1418674
Sodium Tetradecyl Sulfate	C0037556	higher_than	["33950271_fullText_5","36810148_fullText_7"]	GTS gene	C1415353
Sodium Tetradecyl Sulfate	C0037556	compared_with	["33950271_fullText_5","36810148_fullText_7"]	GTS gene	C1415353
puerarin	C0072591	STIMULATES	["32357546_fullText_131"]	ATXN3 gene	C1538301
Zalcitabine	C0012132	STIMULATES	["36362437_fullText_6"]	SLC6A2 gene	C1420212
Mannose	C0024742	COEXISTS_WITH	["25270028_fullText_85"]	ICAM1 gene	C1334074
Mannose	C0024742	COEXISTS_WITH	["25270028_fullText_85"]	LAMP1 gene	C1416788
Mannose	C0024742	COEXISTS_WITH	["26066342_fullText_77"]	SLC35C1 gene	C1426768
Mannose	C0024742	COEXISTS_WITH	["34831340_fullText_114"]	AKR1A1 wt Allele	C3715044
Mannose	C0024742	COEXISTS_WITH	["34380532_fullText_2","29112118_fullText_151","33632285_fullText_14","32962735_fullText_36","32962735_fullText_85","32962735_fullText_93"]	PMM2 gene	C1418674
Mannose	C0024742	INTERACTS_WITH	["34380532_fullText_12","32962735_fullText_36"]	PMM2 gene	C1418674
Glutaral	C0017814	COEXISTS_WITH	["21303839_fullText_150"]	TSPO gene	C1823521
Isoprenoids	C0682996	STIMULATES	["33651408_fullText_8"]	MBNL1 gene	C1417055
Fucose	C0016786	COEXISTS_WITH	["26739145_fullText_89"]	SLC35C1 gene	C1426768
rottlerin	C0251673	STIMULATES	["35707918_fullText_5"]	GCLC gene	C1415097
rottlerin	C0251673	STIMULATES	["35707918_fullText_5"]	GCLM gene	C1415098
triciribine	C0077069	INHIBITS	["34273390_fullText_6"]	GRIN2A gene	C1415299
triciribine	C0077069	INHIBITS	["34273390_fullText_6"]	GRIN2B gene	C1415300
JWH-133	C0968642	STIMULATES	["33998869_fullText_5"]	CNR2 gene	C1413555
alternan	C1099034	COEXISTS_WITH	["36672764_fullText_6"]	Wild Type	C1883559
Organic acid (substance)	C0369760	COEXISTS_WITH	["16573641_fullText_6"]	GCDH gene	C1415009
Organic acid (substance)	C0369760	INHIBITS	["28762469_fullText_2"]	GAD1 gene	C1414925
JNJ 7777120	C1456750	INHIBITS	["33726554_fullText_6"]	HRH1 gene	C1439351
LYSO-PC	C0206836	COEXISTS_WITH	["28677031_fullText_3","28677031_fullText_5","28677031_fullText_9","31628608_fullText_3"]	LRP2 wt Allele	C3811119
Sphingomyelins	C0037906	STIMULATES	["28456629_fullText_20"]	TFEB gene	C1420699
Carbonyl Cyanide p-Trifluoromethoxyphenylhydrazone	C0007044	INHIBITS	["32366037_fullText_111"]	MNT gene	C1417222
Carbonyl Cyanide p-Trifluoromethoxyphenylhydrazone	C0007044	STIMULATES	["39231983_fullText_304"]	MPG gene	C1417239
sildenafil	C0529793	STIMULATES	["25835550_fullText_167"]	ITGB3 gene	C1416498
CGP 36216	C0971841	COEXISTS_WITH	["34246684_fullText_4"]	LHB gene	C1416842
High Density Lipoprotein Cholesterol	C0023822	PART_OF	["36270341_fullText_7"]	HSD11B1 wt Allele	C3715113
High Density Lipoprotein Cholesterol	C0023822	COEXISTS_WITH	["33824429_fullText_5"]	Genome	C0017428
Edetic Acid	C0013618	COEXISTS_WITH	["26804654_fullText_22"]	SULT1E1 gene	C1420459
Edetic Acid	C0013618	COEXISTS_WITH	["26785728_fullText_40"]	TSPO gene	C1823521
Photosensitizing Agents	C0162713	INHIBITS	["37092793_fullText_6"]	BCL2 gene	C0376515
Saline Solution, Hypertonic	C0036085	INHIBITS	["21539312_fullText_3"]	PMM2 gene	C1418674
Losartan	C0126174	STIMULATES	["34529122_fullText_8"]	ACE gene	C1413931
Dimenhydrinate	C0012381	INHIBITS	["37779040_fullText_10"]	KCNA5 gene	C1416548
rosuvastatin	C0965129	STIMULATES	["34081810_fullText_1"]	HMOX1 gene	C1415619
Neopterin	C0068527	COEXISTS_WITH	["21416196_fullText_3","21416196_fullText_7"]	LRP2 wt Allele	C3811119
Neopterin	C0068527	COEXISTS_WITH__SPEC__	["21416196_fullText_3"]	LRP2 wt Allele	C3811119
Vorinostat	C0672708	STIMULATES	["28535287_fullText_34","28535287_fullText_52","28535287_fullText_88","28535287_fullText_96"]	MBNL1 gene	C1417055
Vorinostat	C0672708	STIMULATES__SPEC__	["28535287_fullText_62"]	DMPK gene	C1414085
Vorinostat	C0672708	STIMULATES__SPEC__	["28535287_fullText_62"]	ATP2A1 gene	C1412637
Indican	C0021210	COEXISTS_WITH	["26565911_fullText_26"]	PANK2 gene	C1423814
Phosphatidylinositide 3-Kinase Inhibitor	C1519050	INHIBITS	["35514261_fullText_4"]	P2RY1 gene	C1418217
Antithrombins	C0003440	COEXISTS_WITH	["24139637_fullText_21"]	HEPATIC PROTEIN	C1840635
Micelles	C0025938	COEXISTS_WITH	["38177503_fullText_190"]	NDUFA12 gene	C1826391
flesinoxan	C0060454	STIMULATES	["35245487_fullText_3"]	HTR1A gene	C1415803
Lysophosphatidylcholines	C0024360	COEXISTS_WITH	["37144748_fullText_2"]	ABCD1 gene	C1412084
Docosahexaenoic Acids	C0012968	COEXISTS_WITH	["20959636_fullText_2"]	PHEX gene	C1418526
SK&F 96365	C0142554	STIMULATES	["37404129_fullText_5"]	TRPM4 gene	C1425223
YM 58483	C1456443	INHIBITS	["36195535_fullText_6"]	PDE5A wt Allele	C2987167
AR C69931MX	C0763767	INHIBITS	["37589138_fullText_4"]	P2RY12 gene	C1425330
AR C69931MX	C0763767	INHIBITS	["35514261_fullText_4"]	P2RY1 gene	C1418217
asiatic acid	C0081660	STIMULATES	["37580921_fullText_10"]	PPARGC1A gene	C1418779
asiatic acid	C0081660	STIMULATES	["37580921_fullText_10"]	SIRT2 wt Allele	C3539783
FAD	C3247466	STIMULATES	["32992790_fullText_123"]	SLC52A2 gene	C1539607
FAD	C3247466	STIMULATES	["32992790_fullText_123"]	SLC52A1 gene	C1539608
onabotulinumtoxinA	C2719767	compared_with	["36974676_fullText_1"]	RAB3D gene	C1419208
Primidone	C0033148	INHIBITS	["36648066_fullText_7"]	TRPM3 gene	C1425222
Etodolac	C0059865	INHIBITS	["36646396_fullText_8"]	IRF1 gene	C1366516
urinastatin	C0077906	INHIBITS	["36637388_fullText_6"]	P2RY12 gene	C1425330
stattic	C1873151	STIMULATES	["37307935_fullText_9"]	EIF2AK3 gene	C1414326
Retinoids	C0035339	STIMULATES	["36356843_fullText_3","36356843_fullText_9","37142132_fullText_5"]	DPPA3 gene	C1426084
CpG ODN 1826	C0965351	INHIBITS	["37264553_fullText_5"]	GPX4 gene	C1415278
Ceftriaxone	C0007561	STIMULATES__SPEC__	["37224649_fullText_3"]	SLC1A2 gene	C1420120
Cephalosporins	C3536856	STIMULATES	["37224649_fullText_3"]	SLC1A2 gene	C1420120
HEPES	C0019215	INHIBITS	["37778690_fullText_3"]	ASAH1 wt Allele	C3539770
short-acting benzodiazepines	C0682884	INHIBITS	["37218390_fullText_8"]	HCRTR2 gene	C1415502
N(G)-iminoethylornithine	C0083535	STIMULATES	["37887276_fullText_6"]	ARHGAP35 gene	C1415304
BRL 44408	C0107190	INHIBITS	["36116534_fullText_6"]	NLRP1 wt Allele	C3538756
pegvisomant	C0913469	COEXISTS_WITH	["37389718_fullText_3"]	SRL gene	C1420403
factor XIII	C0015528	COEXISTS_WITH	["36599091_fullText_3"]	ANLN gene	C1422396
sulfoenolpyruvate	C0637261	STIMULATES	["35059981_fullText_8"]	SIRT1 gene	C1423062
Protoporphyrin IX	C0072497	INHIBITS	["37092793_fullText_6"]	BCL2 gene	C0376515
Guanosine	C0018330	COEXISTS_WITH	["36113188_fullText_1"]	STS gene	C1420490
Isopropyl Alcohol	C0022237	COEXISTS_WITH	["34106226_fullText_128"]	NEB gene	C1417656
SB674042	C1527666	INHIBITS	["36436175_fullText_5"]	HCRTR1 gene	C1415501
Metox	C0878341	COEXISTS_WITH	["36287966_fullText_2"]	ASIC1 gene	C1412115
sesamol	C0074406	STIMULATES	["36239029_fullText_6"]	PISD gene	C1418591
crotalphine	C2607211	INHIBITS	["36232883_fullText_11"]	MRC1 gene	C1417249
BAY 60-6583	C1869787	STIMULATES	["37663280_fullText_4"]	ADORA2B gene	C1412247
BPS	C2740858	STIMULATES	["35607890_fullText_4"]	EEF1B2P2 gene	C1414290
bortezomib	C1176309	INHIBITS	["35406718_fullText_187"]	NGLY1 gene	C1425023
bortezomib	C1176309	compared_with	["31636082_fullText_61"]	Wild Type	C1883559
bortezomib	C1176309	higher_than	["31636082_fullText_61"]	Wild Type	C1883559
1-(2-(4-(4-fluoro-benzoyl)-piperidin-1-yl)-ethyl)-3,3-dimethyl-1,2-dihydro-indol-2-one	C1566043	INHIBITS	["35051421_fullText_9"]	TRIM32 gene	C1424232
O 1602	C3253490	STIMULATES	["35596056_fullText_2"]	GPR55 gene	C1415245
tripterine	C0084866	CONVERTS_TO	["35955863_fullText_77"]	PMM2 gene	C1418674
tripterine	C0084866	STIMULATES	["32222543_fullText_9"]	PMM2 gene	C1418674
Flavins	C0016213	COEXISTS_WITH	["32992790_fullText_76"]	GCDH gene	C1415009
Flavins	C0016213	COEXISTS_WITH	["10446367_fullText_12"]	TEAD2 gene	C1420680
Azaserine	C0004480	PRODUCES	["35017509_fullText_4"]	TBATA gene	C1428114
Azaserine	C0004480	PRODUCES	["35833625_fullText_10"]	CTAA1 gene	C1413785
cinnamon allergenic extract	C2740768	INHIBITS	["36317999_fullText_6"]	CRH gene	C1366488
Amiloride	C0002502	INHIBITS	["36139148_fullText_2","36139148_fullText_3"]	P2RX7 gene	C1418215
syringin	C0075710	COEXISTS_WITH	["36113188_fullText_1"]	STS gene	C1420490
3-(2-cyano-3-(trifluoromethyl)phenoxy)phenyl-4,4,4-trifluoro-1-butanesulfonate	C1567066	STIMULATES	["36080443_fullText_4"]	CNR1 gene	C1413554
SR 57227A	C0219736	INHIBITS	["35863088_fullText_5"]	CFP gene	C1418482
Sepharose	C0036681	COEXISTS_WITH	["25135935_fullText_147"]	TSPO gene	C1823521
doconexent	C2348308	COEXISTS_WITH	["20828389_fullText_93"]	PEX2 gene	C1419149
spermidine	C0037871	PART_OF	["38443995_fullText_6","38443995_fullText_78"]	ATXN3 gene	C1538301
latanoprost	C0090306	INHIBITS	["35191964_fullText_8"]	ACTC1 gene	C1825843
indiplon	C1173066	INHIBITS	["37863313_fullText_7"]	GSK3B gene	C1415321
AR A014418	C1432891	INHIBITS	["37863313_fullText_7"]	GSK3B gene	C1415321
prolinedithiocarbamate	C0084183	STIMULATES	["37663280_fullText_8"]	ADORA2B gene	C1412247
glutaric acid	C0061506	STIMULATES	["10759157_fullText_8"]	TBATA gene	C1428114
glutaric acid	C0061506	compared_with	["24468193_fullText_15"]	GCDH gene	C1415009
pipecolic acid	C0031951	COEXISTS_WITH	["2717271_fullText_7"]	PEX2 gene	C1419149
3-hydroxyglutaric acid	C0667581	COEXISTS_WITH	["20836999_fullText_6","30570710_fullText_10"]	GCDH gene	C1415009
3-hydroxyglutaric acid	C0667581	STIMULATES	["10759157_fullText_8"]	TBATA gene	C1428114
glutarylcarnitine	C0061512	COEXISTS_WITH	["16573641_fullText_2","26593172_fullText_60"]	GCDH gene	C1415009
4-Aminohippuric Acid	C0030123	INHIBITS	["38520741_fullText_8"]	DNAJC12 gene	C1539297
Dicarboxylic Acids	C0012063	COEXISTS_WITH	["29335023_fullText_49"]	GCDH gene	C1415009
Isobutyrylglycine	C1115590	COEXISTS_WITH	["20836999_fullText_6"]	GCDH gene	C1415009
N-Acetylneuraminic Acid	C0067762	COEXISTS_WITH	["36224347_fullText_6"]	NANS gene	C1426104
N-Acetylneuraminic Acid	C0067762	COEXISTS_WITH	["12889654_fullText_10"]	PMM2 gene	C1418674
Pentasaccharide	C0556152	COEXISTS_WITH	["35279850_fullText_112"]	PMM2 gene	C1418674
epalrestat	C0095278	higher_than	["31636082_fullText_115"]	PMM2 gene	C1418674
epalrestat	C0095278	compared_with	["31636082_fullText_115"]	PMM2 gene	C1418674
epalrestat	C0095278	STIMULATES	["31636082_fullText_122","31636082_fullText_146"]	PMM2 gene	C1418674
Aldose Reductase Inhibitor	C2348243	STIMULATES	["35955863_fullText_99"]	PMM2 gene	C1418674
Dolichol	C0012990	COEXISTS_WITH	["27343064_fullText_160"]	NUS1 gene	C1826501
Dolichol	C0012990	COEXISTS_WITH	["27343064_fullText_160"]	DHDDS gene	C1427027
Dolichol	C0012990	INHIBITS	["22838182_fullText_124"]	PMM2 gene	C1418674
lipid-linked oligosaccharides	C0065036	COEXISTS_WITH	["23109149_fullText_4"]	DPM2 gene	C1414138
Sialic Acids	C0037025	INHIBITS	["36224347_fullText_91"]	NANS gene	C1426104
Aspartyl glucosamine	C0104427	COEXISTS_WITH	["31311714_fullText_3","31311714_fullText_6"]	LRP2 wt Allele	C3811119
Glycosylphosphatidylinositol Anchors	C0119748	PART_OF	["22838182_fullText_0","34943782_fullText_20"]	GTPBP1 gene	C1415351
Brefeldin A	C0054036	INHIBITS	["10871277_fullText_5"]	COPA gene	C1413605
1-dodecylpyridoxal	C0044369	COEXISTS_WITH	["9639664_fullText_5"]	MARCKS gene	C1416956
1-dodecylpyridoxal	C0044369	COEXISTS_WITH	["9639664_fullText_5"]	PRRT2 wt Allele	C3539645
Triton X-100	C0146951	COEXISTS_WITH	["22431750_fullText_161","26908607_fullText_165","38332227_fullText_251"]	TSPO gene	C1823521
Triton X-100	C0146951	COEXISTS_WITH	["21283659_fullText_96"]	DSG1 gene	C1414168
tideglusib	C3273375	INHIBITS	["32942085_fullText_2"]	GSK3B gene	C1415321
Calcitriol	C0006674	STIMULATES	["36510245_fullText_9"]	MBNL1 gene	C1417055
Notuss	C0722157	STIMULATES	["10562279_fullText_34"]	LGALS4 gene	C1416832
Phenylbutazone	C0031463	STIMULATES	["32054946_fullText_2"]	MBNL1 gene	C1417055
1,2-di-(4-sulfamidophenyl)-4-butylpyrazolidine-3,5-dione	C0603200	STIMULATES	["39320846_fullText_59"]	RNF4 gene	C1419425
1,2-di-(4-sulfamidophenyl)-4-butylpyrazolidine-3,5-dione	C0603200	COEXISTS_WITH	["28129118_fullText_43","28129118_fullText_163"]	DMPK gene	C1414085
Ro 31-8220	C0084393	INHIBITS	["24179176_fullText_97"]	CELF1 gene	C1413824
Ro 31-8220	C0084393	INHIBITS	["24179176_fullText_95"]	PRRT2 wt Allele	C3539645
Ro 31-8220	C0084393	STIMULATES	["24179176_fullText_82","24179176_fullText_130","24179176_fullText_136"]	PRRT2 wt Allele	C3539645
Chromomycin A3	C0040563	INHIBITS	["24179176_fullText_38"]	SPEN gene	C1539835
1,2-diarachidonoyl-glycero-3-phosphocholine	C0043799	COEXISTS_WITH	["27854224_fullText_100"]	SF3B1 wt Allele	C3273937
Antilymphocyte Serum	C0003372	compared_with	["35211808_fullText_97"]	PMM2 gene	C1418674
PO-2	C0297199	STIMULATES	["34849584_fullText_215"]	NDUFS4 gene	C1417647
catalpol	C0175000	STIMULATES	["32357546_fullText_131"]	ATXN3 gene	C1538301
NA-5	C0131647	COEXISTS_WITH	["27063795_fullText_49"]	SCN5A gene	C1419864
NA-5	C0131647	COEXISTS_WITH	["35872650_fullText_90"]	SIRT1 gene	C1423062
NA-5	C0131647	CONVERTS_TO	["35872650_fullText_52"]	NDUFS4 gene	C1417647
Niacinamide	C0028027	COEXISTS_WITH	["38949024_fullText_32"]	ARMC9 gene	C1824218
Niacinamide	C0028027	compared_with	["38949024_fullText_29"]	NPHP1 gene	C1417782
EX 527	C2935082	STIMULATES	["35872650_fullText_71"]	TP53 gene	C0079419
TAK-242	C2350950	COEXISTS_WITH	["34849584_fullText_270"]	NDUFS4 gene	C1417647
DDMS	C0764864	COEXISTS_WITH	["27390132_fullText_110","27390132_fullText_112"]	TSPO gene	C1823521
tris(2-carboxyethyl)phosphine	C0215706	INHIBITS	["25135935_fullText_77"]	MAGT1 gene	C2239666
isopentenyl pyrophosphate	C0064030	CONVERTS_TO	["27343064_fullText_6"]	NUS1 gene	C1826501
sulforafan	C0163159	COEXISTS_WITH	["35406718_fullText_172"]	NGLY1 gene	C1425023
sulforafan	C0163159	INHIBITS	["35653343_fullText_21"]	KEAP1 gene	C1427969
Gamma globulin serum	C0305052	COEXISTS_WITH	["30135079_fullText_63"]	NGLY1 gene	C1425023
Gamma globulin serum	C0305052	PRODUCES	["30135079_fullText_12"]	NGLY1 gene	C1425023
Gamma globulin serum	C0305052	compared_with	["30135079_fullText_24"]	NGLY1 gene	C1425023
rosaniline hydrochloride	C0950459	COEXISTS_WITH	["35854306_fullText_239"]	PEX13 gene	C1418474
phenylpyruvic acid	C0031499	INHIBITS	["19946178_fullText_4"]	TTR gene	C1421224
chloroflurenol-methyl	C0055412	STIMULATES	["28512194_fullText_30"]	RBFOX2 gene	C1419304
Pravastatin	C0085542	INHIBITS	["32368833_fullText_24"]	SMO gene	C1364142
vernakalant	C2001572	INHIBITS	["27854224_fullText_283"]	KCNA5 gene	C1416548
N-propionylprocainamide	C0068273	COEXISTS_WITH	["27063795_fullText_58"]	AAVS1 gene	C1412056
WIN 55,212	C5544328	STIMULATES	["39231983_fullText_71"]	CNR1 gene	C1413554
dextran 40	C0011793	COEXISTS_WITH	["38320719_fullText_7"]	ATXN3 gene	C1538301
dextran 40	C0011793	INHIBITS	["38320719_fullText_6"]	NLRP1 gene	C1826435
pegvaliase	C4519229	INHIBITS	["38142628_fullText_4"]	MNT gene	C1417222
tafamidis	C2745274	COEXISTS_WITH	["38320719_fullText_7"]	ATXN3 gene	C1538301
G(M2) Ganglioside	C0016896	PART_OF	["38165373_fullText_1"]	HHEX gene	C1415537
sphingosyl beta-glucoside	C0074996	compared_with	["32044242_abstract_5"]	SAPC gene	C2681925
Psychosine	C0033954	COEXISTS_WITH	["37628569_fullText_1"]	GALC gene	C1414946
2-methylcitric acid	C0046369	COEXISTS_WITH	["37794778_fullText_3"]	LRP2 wt Allele	C3811119
Orotic Acid	C0029300	COEXISTS_WITH	["37794778_fullText_3"]	LRP2 wt Allele	C3811119
antihemorrhagic factor	C0052058	INHIBITS	["8892015_fullText_8"]	PROC gene	C1418943
Substance with peroxisome proliferator-activated receptor agonist mechanism of action	C4511281	STIMULATES	["39231983_fullText_183"]	GAD2 gene	C1414926
Alpha-1,3-galactosyltransferase-expressing Allogeneic Renal Cell Carcinoma Vaccine	C3815169	INTERACTS_WITH	["38177503_fullText_35","38177503_fullText_113"]	NDUFS4 gene	C1417647
Amplex Red	C1173565	INHIBITS	["38177503_fullText_52"]	NDUFS4 gene	C1417647
