Phenotype	Phenotype_id	RELATION	PROVENANCE	Disease	Disease_id
Impaired N-glycosylation	C3552784	COEXISTS_WITH	["22956764_fullText_1"]	Congenital Disorders	C0242354
Coagulation abnormalities	C1846821	PREDISPOSES	["34831340_fullText_182"]	Infarction, Middle Cerebral Artery	C0740392
Coagulation abnormalities	C1846821	COEXISTS_WITH	["11930273_fullText_1"]	Dandy-Walker Syndrome	C0010964
Endocrine dysgenesis	C2750596	COEXISTS_WITH	["31932101_abstract_1"]	Leukodystrophy	C0023520
Hypermobility, Joint	C0086437	CAUSES	["24348268_fullText_151"]	Cutis Laxa	C0010495
White blood cell count increased (lab result)	C0750426	COEXISTS_WITH	["11529501_fullText_6"]	Rare Diseases	C0678236
liver test abnormal	C0745768	COEXISTS_WITH	["10484808_fullText_4"]	Congenital disorder of glycosylation type 1B	C1865145
Partial thromboplastin time increased (finding)	C0240671	COEXISTS_WITH	["9883808_fullText_5"]	Blood Coagulation Disorders	C0005779
Small corpus callosum	C1846150	COEXISTS_WITH	["7762758_fullText_5"]	Congenital Myotonic Dystrophy	C0410226
Normal facies	C1837086	COEXISTS_WITH	["33858316_fullText_1"]	Congenital disorder of glycosylation type 1A	C0349653
Advanced bone age	C0545053	COEXISTS_WITH	["31705726_fullText_74"]	Skeletal dysplasia	C0410528
Heart murmur	C0018808	COEXISTS_WITH	["29361989_fullText_22"]	Recurrent chest infections	C0585953
Cutaneous Involvement	C1511567	COEXISTS_WITH	["25813338_fullText_1"]	Myotonic Dystrophy	C0027126
Macrothrombocytopenia	C2751260	COEXISTS_WITH	["27387429_fullText_2"]	Congenital Disorder Of Glycosylation, Type IIF	C1970344
Highly variable phenotype	C1865012	COEXISTS_WITH	["34125228_fullText_2"]	Myotonic Dystrophy	C0027126
Fetal akinesia	C2748971	COEXISTS_WITH	["31299140_fullText_2"]	Myasthenic Syndromes, Congenital	C0751882
Microcephaly, severe	C1850352	COEXISTS_WITH	["9796752_fullText_3"]	Metabolic Diseases	C0025517
Bone spicule pigmentation	C3278289	COEXISTS_WITH	["24433453_fullText_79"]	Retinitis Pigmentosa	C0035334
Elevated creatine kinase	C1846818	COEXISTS_WITH	["11930273_fullText_1"]	Dandy-Walker Syndrome	C0010964
Cardiac finding	C0577785	COEXISTS_WITH	["22327749_fullText_10"]	Syndrome	C0039082
Severe gastroesophageal reflux	C1857946	PREDISPOSES	["19267216_fullText_5"]	Failure to Thrive	C0015544
Plasmalogen deficiency	C1859141	COEXISTS_WITH	["8507680_fullText_1"]	Zellweger Syndrome	C0043459
Phytanic acid accumulation	C3279396	COEXISTS_WITH	["1282286_fullText_2"]	Peroxisomal Disorders	C0282528
Myotonic discharges	C1850308	COEXISTS_WITH	["11519202_fullText_1"]	Myotonic Disorders	C0553604
Type 1 fiber atrophy	C1850688	COEXISTS_WITH	["739270_fullText_1"]	Myotonic Dystrophy	C0027126
Respiratory muscle weakness	C1836141	COEXISTS_WITH	["17416148_fullText_1"]	Muscular Dystrophy	C0026850
EMG finding	C0429339	COEXISTS_WITH	["521833_fullText_4"]	Hypothyroidism	C0020676
Insulin insensitivity	C1864570	COEXISTS_WITH	["7017735_fullText_1"]	myotonic muscular dystrophy	C0242007
Muscle action potential amplitude	C0457381	COEXISTS_WITH	["29377152_fullText_3"]	Lambert-Eaton Myasthenic Syndrome	C0022972
Chest discomfort	C0235710	ASSOCIATED_WITH	["10981860_fullText_1"]	Left Bundle-Branch Block	C0023211
Macule	C0332573	ASSOCIATED_WITH	["35205402_fullText_83"]	Retinal Degeneration	C0035304
Decreased muscle mass	C1837466	COEXISTS_WITH	["3927876_fullText_6"]	Myotonic Dystrophy	C0027126
Electrocardiogram atrioventricular block complete heart block	C2215935	COEXISTS_WITH	["7798509_fullText_1"]	Myotonic Dystrophy	C0027126
Facial diplegia	C1836003	COEXISTS_WITH	["3202737_fullText_5","31027758_fullText_1"]	Myotonic Dystrophy	C0027126
Facial diplegia	C1836003	COEXISTS_WITH	["10690232_fullText_1"]	Systemic disease	C0442893
Early cataracts	C1835120	COEXISTS_WITH	["31794466_fullText_2"]	Dystrophia myotonica 2	C2931689
Early cataracts	C1835120	COEXISTS_WITH	["31794466_fullText_2"]	Dystrophia myotonica 1	C2931688
Hoarseness	C0019825	ASSOCIATED_WITH	["30301614_fullText_3"]	Dystrophia myotonica 1	C2931688
Wide QRS complex	C0235475	COEXISTS_WITH	["17584276_fullText_1"]	Neuromuscular Diseases	C0027868
Normocalcemia	C1860413	COEXISTS_WITH	["23809192_fullText_4"]	Hyperparathyroidism	C0020502
Muscle wasting, progressive	C2678062	COEXISTS_WITH__SPEC__	["19360700_fullText_1"]	Myotonic Dystrophy	C0027126
Muscle wasting, progressive	C2678062	COEXISTS_WITH	["20715526_fullText_1"]	Myopathy	C0026848
Muscle wasting, progressive	C2678062	COEXISTS_WITH	["19246640_fullText_1"]	Neuromuscular Diseases	C0027868
Muscle wasting, progressive	C2678062	COEXISTS_WITH	["28637233_fullText_1"]	Muscular Dystrophy	C0026850
Muscle wasting, progressive	C2678062	COEXISTS_WITH	["15795967_fullText_1"]	Dystrophia myotonica 1	C2931688
Chronic hypoventilation	C0231930	ASSOCIATED_WITH	["37399783_fullText_1"]	Myotonic Dystrophy	C0027126
Morning headache	C0581880	ASSOCIATED_WITH	["7669417_fullText_4"]	Myotonic Dystrophy	C0027126
Cheyne-Stokes Respiration	C0008039	ISA	["8752439_fullText_6"]	Respiration Disorders	C0035204
Primary problem	C3258059	COEXISTS_WITH	["2232381_fullText_3"]	Myotonic Dystrophy	C0027126
Sleep-onset REM	C2674748	COEXISTS_WITH	["18195268_fullText_1"]	Narcolepsy	C0027404
Patient telephone number	C0421455	COEXISTS_WITH	["31970692_fullText_3"]	Myotonic Dystrophy	C0027126
finger weakness	C0744034	ASSOCIATED_WITH	["32478919_fullText_6"]	Sarcoidosis	C0036202
finger weakness	C0744034	ASSOCIATED_WITH	["32478919_fullText_6"]	Amyloid myopathy	C0342618
finger weakness	C0744034	ASSOCIATED_WITH	["32478919_fullText_4","32478919_fullText_6"]	Myopathy	C0026848
finger weakness	C0744034	ISA	["32478919_fullText_4"]	Myopathy	C0026848
Electromyogram abnormal	C0476403	COEXISTS_WITH	["11181860_fullText_10"]	Oropharyngeal Dysphagia	C0267071
Left ventricular dilation	C3152138	COEXISTS_WITH	["27854224_fullText_77"]	Cardiomyopathy, Dilated	C0007193
spinal defect	C0241225	COEXISTS_WITH	["15795967_fullText_1"]	Dystrophia myotonica 1	C2931688
Muscle weakness, predominantly proximal	C1837234	COEXISTS_WITH	["11519202_fullText_5"]	Dystrophia myotonica 2	C2931689
Tall stature	C0241240	COEXISTS_WITH	["15558888_fullText_1"]	Myotonic Dystrophy	C0027126
Pyloric Stenosis	C0034194	IS_A		Gastric outlet obstruction	C0162651
Low growth hormone levels	C3808699	COMPLICATES	["30419932_fullText_128"]	Severe malnutrition	C0311276
Moderately Abnormal Ejection Fraction	C3274776	COEXISTS_WITH	["29390978_fullText_29"]	Tachycardia, Ventricular	C0042514
Moderately Abnormal Ejection Fraction	C3274776	COEXISTS_WITH	["29390978_fullText_29"]	Mitochondrial Diseases	C0751651
Acute abdominal pain	C0740577	COEXISTS_WITH	["22327749_fullText_56"]	Upper Respiratory Infections	C0041912
Refusing food	C0424424	COEXISTS_WITH	["26510709_fullText_6"]	Phenylketonurias	C0031485
Chronic constipation	C0401149	ASSOCIATED_WITH	["35406718_fullText_194"]	Mitochondrial Diseases	C0751651
Multiparity	C0026751	COMPLICATES	["32872442_fullText_178"]	Vitamin B 12 Deficiency	C0042847
Cerebral calcification	C0270685	COEXISTS_WITH	["3540926_fullText_12"]	Folate Malabsorption, Hereditary	C0342705
Cerebral calcification	C0270685	COEXISTS_WITH	["3344778_fullText_5"]	Phenylketonurias	C0031485
Elevated serum IgE	C1839165	COEXISTS_WITH	["37644541_fullText_37"]	Hyper-Immunoglobulin E Syndrome, Autosomal Dominant	C2936739
Thickening of skin	C0241165	ASSOCIATED_WITH	["32147747_fullText_29"]	Nail deformity	C0240434
Thickening of skin	C0241165	ASSOCIATED_WITH	["32147747_fullText_29"]	Harlequin type ichthyosis	C0598226
Palmoplantar hyperkeratosis	C1857046	COEXISTS_WITH	["32147747_fullText_41"]	Hyperkeratosis	C0870082
reported hypercholesterolemia	C2186235	COEXISTS_WITH	["30944903_fullText_23"]	Dyslipidemias	C0242339
Myotonus (finding)	C0700153	COEXISTS_WITH	["39487453_fullText_1"]	MYOTONIC DYSTROPHY 1	C3250443
Neuroinflammation	C5394393	COEXISTS_WITH	["39231983_fullText_188"]	CNS disorder	C0007682
Prolonged Electroretinal Response Suppression	C1842073	IS_A		Retinal Diseases	C0035309
Gingival Overgrowth	C0376480	IS_A		Gingival Diseases	C0017563
Fumaric aciduria	C2936826	IS_A		Amino Acid Metabolism, Inborn Errors	C0002514
Isolated hyperchlorhidrosis	C1840437	IS_A		Skin Diseases, Genetic	C0037277
Ear discharge	C0155540	IS_A		Ear Diseases	C0013447
Acute inflammation of orbit	C0155256	IS_A		Orbital Diseases	C0029182
Lacrimal Duct Obstruction	C0022906	IS_A		Lacrimal Apparatus Diseases	C0022904
Hypolipoproteinemias	C0020623	IS_A		Lipid Metabolism, Inborn Errors	C0023772
Pyuria	C0034359	IS_A		Non-Neoplastic Urinary System Disorder	C1335051
Bacteriuria	C0004659	IS_A		Non-Neoplastic Urinary System Disorder	C1335051
Vaginal Discharge	C0227791	IS_A		Vaginal Diseases	C0042251
Effusion of joint, other specified sites	C0158157	IS_A		Arthropathy associated with infection	C0157749
Posteroinferior Myocardial Infarction by ECG Finding	C3642318	IS_A		Myocardial Infarction	C0027051
Apical Myocardial Infarction by ECG Finding	C3642319	IS_A		Myocardial Infarction	C0027051
Subendocardial Myocardial Infarction by ECG Finding	C3642476	IS_A		Myocardial Infarction	C0027051
Posterolateral Myocardial Infarction by ECG Finding	C3642463	IS_A		Myocardial Infarction	C0027051
Inferolateral Myocardial Infarction by ECG Finding	C3537017	IS_A		Myocardial Infarction	C0027051
Enlarged blind spot	C0152192	IS_A		Disorder of eye	C0015397
CHOANAL ATRESIA, POSTERIOR	C0220723	IS_A		Disorder of nasal cavity	C0339820
Hyperammonemia, acute	C1859506	COEXISTS_WITH	["38167094_fullText_1"]	Urea Cycle Disorders, Inborn	C0154246
Scotoma, Central	C0152191	COEXISTS_WITH	["37530213_fullText_9"]	MITOCHONDRIAL NEUROGASTROINTESTINAL ENCEPHALOPATHY SYNDROME	C0872218
Vegan diet	C0344353	COEXISTS_WITH	["24120886_fullText_1"]	Malnutrition	C0162429
High Level	C4321237	COEXISTS_WITH	["39337507_fullText_1"]	Hereditary Diseases	C0019247
High Level	C4321237	COEXISTS_WITH	["38783570_fullText_2"]	Metabolic Diseases	C0025517
METHOD:*	C5445274	COEXISTS_WITH	["37115382_fullText_100"]	cerebellar function	C0742034
Minipolymyoclonus	C1865398	COEXISTS_WITH	["39516744_fullText_5"]	Machado-Joseph Disease	C0024408
plantar keratosis	C0240775	COEXISTS_WITH__SPEC__	["32018000_abstract_3"]	Keratitis	C0022568
Abnormal dentition	C2675537	COEXISTS_WITH	["31932101_abstract_1"]	Leukodystrophy	C0023520
Eating problem	C0424421	COEXISTS_WITH	["35248849_fullText_2"]	Phenylketonurias	C0031485
Tooth eruption	C0040437	COEXISTS_WITH	["31766512_fullText_6"]	Phenylketonurias	C0031485
Increased carbohydrate	C1291096	COEXISTS_WITH	["29502926_fullText_3"]	Phenylketonurias	C0031485
Selenium intake	C0564448	COEXISTS_WITH	["2360545_fullText_6"]	Phenylketonurias	C0031485
Hypoplastic corpus callosum	C1853617	COEXISTS_WITH	["8648535_fullText_10"]	Phenylketonuria, Maternal	C0085547
Abnormal brain scan	C0476393	COEXISTS_WITH	["7912392_fullText_11"]	Phenylketonurias	C0031485
Progressive mental deterioration	C3807599	COEXISTS_WITH	["581400_fullText_5"]	Phenylketonurias	C0031485
Accumulation	C4055506	COEXISTS_WITH	["38432113_fullText_1"]	Phenylketonurias	C0031485
Accumulation	C4055506	COEXISTS_WITH	["37922902_fullText_1"]	Autosomal Recessive Disorder	C3899988
Accumulation	C4055506	COEXISTS_WITH	["39368841_fullText_1","38184920_fullText_1"]	Hereditary Diseases	C0019247
Difficulty talking	C0564221	COEXISTS_WITH	["38497605_fullText_1"]	incurable diseases	C0175969
BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20	C4759928	COEXISTS_WITH	["39408322_fullText_3","38931188_fullText_3"]	Phenylketonurias	C0031485
High severity	C4740653	COEXISTS_WITH	["38376240_fullText_110"]	Machado-Joseph Disease	C0024408
Spinal cord pathology	C4477104	COEXISTS_WITH	["38795020_fullText_29"]	Adrenoleukodystrophy	C0162309
